#/log,DATA CREATED,データ作成日,20070801,,,,,,,
#/doc,DATA CREATER,データ作成者,蒔田明史,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nibuna-mizusawa （NB-EC1).,,,,,,,
#,SITE NAME,サイト名,仁鮒水沢(スギ保護林),,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,
#,PLOT CODE,調査区コード,NB-EC1,,,,,,,
#,PLOT SIZE,面積,1ha,50x200ｍ,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,
#,,spc_japan,種名,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,
#,,note,備考,,,,,,,
#,,s_data,調査日,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,
#/log,20071126,Data of 2006 was arranged.,,,,,,,,
#,,,,,,,,,,
#,20090916,tag_no=288が二個体あったため、サワグルミを288.1し、個体番号も変更,,,,,,,,
#,,indv_no=Y35が樹種、場所が異なるため、tag_no=B35のindv_no=Y35.1とした,,,,,,,,
#,,note06.1にref-IDを入力、樹種同定不確かなものはnaにした,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord has been changed to Moni1000 format.",,,,,,,,
#,20101116,"tag=R147,148,149,R110重複。同一幹の可能性あり。-> 片方の行頭に#をつけた",,,,,,,,
#,,tag=B229は同一株内で重複-> -1 -2をつけた,,,,,,,,
#,20110107,イタヤカエデ->アカイタヤ,,,,,,,,
#/data,,,,,,,,,,
#70,0,R110,Y101,0,9,ハクウンボク,25.9 ,xはＮＳ方向,02_P549,20061003
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","note06","note06.1","s_date06","dl06","rec06","error06"
0,0,"R232","P145","9.0 ","7.0 ","スギ",376,"233と同株","02_P145",20061003,0,0,0
0,0,"R233","P145","9.0 ","6.0 ","スギ",227.2,"P145と同株","06_R233",20061003,0,0,0
0,0,"R235","P56","5.0 ","9.0 ","トチノキ",79.1,NA,"02_P560",20061003,0,0,0
0,0,"R234","R234","7.0 ","9.5 ","キブシ",15.5,"新規","06_R234",20061003,0,-1,0
10,0,"R231","P558","0.0 ","6.0 ","コシアブラ",33.3,"ペンキなし","02_P558",20061003,0,0,0
10,0,"R225","P559","0.0 ","4.0 ","トチノキ",22.1,NA,"02_P559",20061003,0,0,0
10,0,"R223","R223","9.0 ","6.0 ",NA,16.5,"新規　斜め 落葉種不明","06_R223",20061003,0,0,0
10,0,"R224","R224","9.0 ","6.0 ",NA,17.8,"新規　斜め 落葉種不明","06_R224",20061003,0,0,0
20,0,"R222","P141","1.0 ","3.0 ","スギ",462,NA,"02_P141",20061003,0,0,0
20,0,"R221","P142","1.0 ","7.0 ","スギ",299.2,NA,"02_P142",20061003,0,0,0
30,0,"R217","P139","9.0 ","8.0 ","スギ",395.3,NA,"02_P139",20061003,0,0,0
30,0,"R218","P554","6.0 ","4.0 ","トチノキ",23,"219と同株","02_P554",20061003,0,0,0
30,0,"R219","P554","6.0 ","4.0 ","トチノキ",21.4,"新規　P554の1本　R218と同株　前回はラベル１コのみ　1mで２分岐","06_R219",20061003,0,0,0
30,0,"R220","P555","0.0 ","2.0 ","トチノキ",34.4,NA,"02_P555",20061003,0,0,0
40,0,"R213","P134","5.0 ","2.0 ","スギ",222.5,NA,"02_P134",20061003,0,0,0
40,0,"R211","P135","9.0 ","2.0 ","スギ",265.3,NA,"02_P135",20061003,0,0,0
40,0,"R214","P136","6.0 ","7.0 ","スギ",400.4,NA,"02_P136",20061003,0,0,0
40,0,"R215","P138","4.0 ","9.5 ","スギ",226.3,"前回データ間違い→修正済","02_P138",20061003,0,0,0
50,0,"R209","P128","7.0 ","4.0 ","スギ",162.1,"南側","02_P128",20061003,0,0,0
50,0,"R210","P129","5.0 ","2.0 ","スギ",268.9,"南側","02_P129",20061003,0,0,0
60,0,"R109","P133","9.0 ","10.0 ","スギ",305,"南側","02_P133",20061003,0,0,0
60,0,"R177","P548","2.0 ","9.0 ","エゴノキ",29.2,"南側","02_P548",20061003,0,0,0
60,0,"R110","P549","9.5 ","9.5 ","ハクウンボク",25.9,"南側","02_P549",20061003,0,0,0
60,0,"R178","R178","2.0 ","5.0 ",NA,18.3,"新規ミズナラ？","06_R178",20061003,0,0,0
70,0,"P546-1","Y01","8","8","トチノキ",65.8,"Ｎ側　1.3Ｍで2分岐","00_Y01-1",20061003,0,0,0
70,0,"P546-2","Y01","8","8","トチノキ",66.4,"Ｓ側　1.3Ｍで2分岐","00_Y01-2",20061003,0,0,0
80,0,NA,"49 ","9.7","6.2","トチノキ",NA,NA,"80_49",20061003,1,-1,0
80,0,NA,"52 ","4.4","6.1","トチノキ",NA,NA,"80_52",20061003,1,-1,0
80,0,"P120","Y02","7","1","スギ",327.1,NA,"00_Y02",20061003,0,0,0
90,0,NA,"50 ","0.5","6.2","トチノキ",NA,NA,"80_50",20061003,1,-1,0
90,0,"P117","Y04","8","2","スギ",321.9,NA,"00_Y04",20061003,0,0,0
90,0,"P540","Y08","6","8","ホオノキ",27.3,NA,"00_Y08",20061003,0,0,0
90,0,"P872","Y102","6","3","オオバクロモジ",15,"1.2Ｍで分岐太い方のみ測定","04_Y102",20061003,0,-1,0
100,0,NA,"42 ","4.1","9.7","スギ",NA,NA,"80_42",20061003,1,-1,0
100,0,NA,"43 ","7.8","4.6","トチノキ",NA,NA,"80_43",20061003,1,-1,0
100,0,"P539-1","Y06","1","9","クサギ",NA,"枯21.4","00_Y06-1",20061003,1,-1,0
100,0,"P539-2","Y06","1","9","クサギ",NA,"枯9.5","00_Y06-2",20061003,1,-1,0
100,0,"P859","Y07","2","8","ホオノキ",27.3,"ラベル回収","00_Y07",20061003,0,0,0
100,0,"P873","Y103","1","5","クサギ",NA,"12.5","04_Y103",20061003,2,0,0
100,0,"P537-1","Y104","0","1","ウワミズザクラ",17.9,"同株 南側　オオバクロモジをウワミズに訂正","02_P537",20061003,0,0,0
100,0,"P537-2","Y104","0","1","ウワミズザクラ",16.2,"同株 北側","04_P537-2",20061003,0,0,0
100,0,"P874","Y105","4","1","エゴノキ",NA,"14.4","04_Y105",20061003,2,0,0
100,0,"P534","Y106","8","0","サワグルミ",17.9,NA,"02_P534",20061003,0,0,0
100,0,"P535","Y107","8","1","サワグルミ",NA,"14.1Ｙラベル割れ　なし","02_P535",20061003,2,0,0
100,0,"P536","Y108","10","1","サワグルミ",NA,"14.9","02_P536",20061003,2,0,0
100,0,"P533","Y108","9.5","1","サワグルミ",16.6,NA,"02_P533",20061003,0,0,0
100,0,"P532","Y110","10","2","サワグルミ",19.8,NA,"02_P532",20061003,0,0,0
100,0,"P861","Y111","9","2","ウワミズザクラ",NA,"13.9","04_Y111",20061003,2,0,0
100,0,"P531","Y112","9.5","3.5","クサギ",NA,"枯れ12.3","02_P531",20061003,1,-1,0
100,0,"P530","Y112","9","4","クサギ",NA,"枯れ16.9","02_P530",20061003,1,-1,0
100,0,"P529","Y112","8.5","4","クサギ",17.4,NA,"02_P529",20061003,0,0,0
100,0,"P528","Y115","8","3","ヤマグワ",24.1,NA,"02_P528",20061003,0,0,0
100,0,"P860","Y116","9","9","イイギリ",34.9,"生枝多数　　　　　　　　　　　　　　　完全に倒れる　イキ","02_P860",20061003,0,0,0
110,0,"P116","P116","1.0 ","3.0 ","スギ",361,NA,"02_P116",20061003,0,0,0
110,0,"P526","P526","2.0 ","4.0 ","クサギ",NA,"枯れ GBH29.6","02_P526",20061003,1,-1,0
110,0,"P875","P875","1.0 ","2.5 ","タラノキ",16.1,"新規","06_P875",20061003,0,0,0
120,0,"P901","P114","1.0 ","9.5 ","スギ",255.7,"ペンキなし","02_P114",20061003,0,0,0
120,0,"P900","P115","6.0 ","4.0 ","スギ",137.7,NA,"02_P115",20061003,0,0,0
120,0,"P505","P505","9.0 ","9.5 ","ヤマモミジ",72.5,"ツル抜き","02_P505",20061003,0,0,0
120,0,"P520","P520","8.0 ","5.0 ","アワブキ",30.5,NA,"02_P520",20061003,0,0,0
120,0,"P898","P520","8.0 ","5.0 ","アワブキ",18.2,"新規　P520と同株","06_P898",20061003,0,0,0
120,0,"P899","P520","8.0 ","5.0 ","アワブキ",16.2,"新規　P520と同株","06_P899",20061003,0,0,0
120,0,"P524","P524","1.0 ","9.0 ","マルバアオダモ",NA,"2分岐　0.8mH　E側34.3　W側37.8　どちらもツル込み","02_P524",20061003,2,0,0
120,0,"P525","P525","1.0 ","9.0 ","マルバアオダモ",17.8,NA,"02_P525",20061003,0,0,0
130,0,"P895","P108","5.0 ","4.0 ","スギ",325.5,"ペンキなし","02_P108",20061003,0,0,0
130,0,"P501","P501","3.0 ","3.0 ",NA,36.2,"オオヤマザクラ？","02_P501",20061003,0,0,0
130,0,"P502","P502","4.5 ","6.0 ","マルバアオダモ",19.5,NA,"02_P502",20061003,0,0,0
130,0,"P503","P503","4.0 ","9.5 ","アカイタヤ",51.9,"ツル抜き","02_P503",20061003,0,0,0
130,0,"P504","P504","2.0 ","9.5 ","ブナ",63.3,NA,"02_P504",20061003,0,0,0
130,0,"P896","P896","5.0 ","1.0 ","アワブキ",20.9,"新規　P896，897同株","06_P896",20061003,0,0,0
130,0,"P897","P896","5.0 ","1.0 ","アワブキ",22.5,"新規　P896，897同株","06_P897",20061003,0,0,0
140,0,"P894","P109","1.0 ","1.0 ","スギ",253.8,NA,"02_P109",20061003,0,0,0
140,0,"P883","P110","5.0 ","7.0 ","スギ",286.6,"ペンキなし","02_P110",20061003,0,0,0
140,0,"P890","P111","17.3 ","18.2 ","スギ",268.8,NA,"02_P111",20061003,0,0,0
140,0,"P512","P512","6.0 ","9.0 ","ホオノキ",21.8,"ツル抜き","02_P512",20061003,0,0,0
140,0,"P881","P512","6.0 ","9.0 ","ホオノキ",18.9,"新規　P512と同株","06_P881",20061003,0,0,0
140,0,"P882","P512","6.0 ","9.0 ","ホオノキ",16.6,"新規　P512と同株 　ツル巻き込み　ツルの無い所で測定","06_P882",20061003,0,0,0
140,0,"P513","P513","2.0 ","9.0 ","サンショウ",21.9,NA,"02_P513",20061003,0,0,0
140,0,"P515","P515","2.0 ","3.0 ","ミズキ",35.2,NA,"02_P515",20061003,0,0,0
140,0,"P516","P516","2.5 ","3.0 ","ミズキ",NA,"14.7","02_P516",20061003,2,0,0
140,0,"P517","P517","2.3 ","3.0 ","ミズキ",25.5,NA,"02_P517",20061003,0,0,0
140,0,"P518","P518","4.0 ","2.0 ","アカイタヤ",24.1,NA,"02_P518",20061003,0,0,0
140,0,"P888","P888","7.0 ","7.0 ","マルバアオダモ",17.1,"新規","06_P888",20061003,0,0,0
140,0,"P889","P889","6.5 ","7.0 ","トチノキ",20.1,"新規","06_P889",20061003,0,0,0
140,0,"P891","P891","7.0 ","1.0 ","トチノキ",23.3,"新規","06_P891",20061003,0,0,0
140,0,"P892","P892","6.5 ","1.0 ","アワブキ",20.7,"新規","06_P892",20061003,0,0,0
140,0,"P893","P893","2.0 ","2.0 ","ハクウンボク",21,"新規","06_P893",20061003,0,0,0
150,0,"P903","P903","1.5","1.5","ウワミズザクラ",24.2,"P903,904同株","06_P903",20061003,0,0,0
150,0,"P904","P903","1.5","1.5","ウワミズザクラ",17.1,"P903,904同株","06_P904",20061003,0,0,0
150,0,"P905","P905","4","0.5","アカイタヤ",89.8,NA,"06_P905",20061003,0,0,0
150,0,"P906","P906","7","3","ハクウンボク",44,NA,"06_P906",20061003,0,0,0
150,0,"P907","P907","9","5","スギ",209,NA,"06_P907",20061003,0,0,0
150,0,"P908","P908","7","7","スギ",198,NA,"06_P908",20061003,0,0,0
150,0,"P909","P909","8","8","スギ",247.9,NA,"06_P909",20061003,0,0,0
150,0,"P910","P910","4","8","トチノキ",91.8,NA,"06_P910",20061003,0,0,0
150,0,"P911","P911","10","5","アワブキ",21.5,"P911,912同株","06_P911",20061003,0,0,0
150,0,"P912","P911","10","5","アワブキ",32.8,"P911,912同株","06_P912",20061003,0,0,0
150,0,"P913","P913","10","5","アワブキ",20,NA,"06_P913",20061003,0,0,0
150,0,"P914","P914","10","7","アワブキ",32.7,NA,"06_P914",20061003,0,0,0
150,0,NA,NA,"6","4","スギ",NA,"枯れ119.4","06_old1",20061003,1,-1,0
150,0,NA,NA,"8.5","9","スギ",NA,"ツル込み67.3","06_old2",20061003,1,-1,0
160,0,"R111","R111","2","2","ホオノキ",17.7,NA,"06_R111",20061003,0,0,0
160,0,"R113","R113","2","6","ハクウンボク",16.4,NA,"06_R113",20061003,0,0,0
160,0,"R114","R114","6","6","ホオノキ",18.1,NA,"06_R114",20061003,0,0,0
160,0,"R115","R115","6","5","ハクウンボク",16.8,NA,"06_R115",20061003,0,0,0
160,0,"R116","R116","7","4.5","ヒバ",40.5,"R116-123 ヒノキアスナロ 同株では？","06_R116",20061003,0,0,0
160,0,"R117","R117","8","1.5","ホオノキ",19.7,"ツル込み","06_R117",20061003,0,0,0
160,0,"R118","R118","7","1","ヒバ",71.2,"R116-123 ヒノキアスナロ 同株では？","06_R118",20061003,0,0,0
160,0,"R119","R119","9","1","ヒバ",104.9,"R116-123 ヒノキアスナロ 同株では？","06_R119",20061003,0,0,0
160,0,"R120","R120","9.5","1","ヒバ",16.3,"R116-123 ヒノキアスナロ 同株では？","06_R120",20061003,0,0,0
170,0,"R121","R121","2","1","ヒバ",25.7,"R116-123 ヒノキアスナロ 同株では？","06_R121",20061003,0,0,0
170,0,"R122","R122","5","2","トチノキ",101,NA,"06_R122",20061003,0,0,0
170,0,"R123","R123","6","0","ヒバ",41.3,"R116-123 ヒノキアスナロ 同株では？","06_R123",20061003,0,0,0
170,0,"R124","R124","6","3","スギ",106,NA,"06_R124",20061003,0,0,0
170,0,"R125","R125","6","4","ヒバ",26.3,"R116-123 ヒノキアスナロ 同株では？","06_R125",20061003,0,0,0
170,0,"R126","R126","5.5","5","ヒバ",18.7,"R116-123 ヒノキアスナロ 同株では？","06_R126",20061003,0,0,0
170,0,"R127","R127","6","5","ヒバ",28.4,"R116-123 ヒノキアスナロ 同株では？","06_R127",20061003,0,0,0
170,0,"R128","R128","8","5","ヒバ",15,"R116-123 ヒノキアスナロ 同株では？","06_R128",20061003,0,-1,0
170,0,"R129","R129","8","2","ヒバ",15.1,"R116-123 ヒノキアスナロ 同株では？","06_R129",20061003,0,-1,0
170,0,"R130","R130","2","6","スギ",229,NA,"06_R130",20061003,0,0,0
170,0,"R131","R131","1","6","ホオノキ",16.7,NA,"06_R131",20061003,0,0,0
170,0,"R132","R132","0","6","ホオノキ",28,NA,"06_R132",20061003,0,0,0
170,0,"R133","R133","2","8","マルバアオダモ",20,"R133、134同株","06_R133",20061003,0,0,0
170,0,"R134","R133","2","8","マルバアオダモ",22.9,"R133、134同株","06_R134",20061003,0,0,0
170,0,"R137","R137","8","8.5","ハクウンボク",16,NA,"06_R137",20061003,0,0,0
170,0,"R138","R138","8.5","9.5","スギ",186.9,"ツル１本だけ込み","06_R138",20061003,0,0,0
170,0,"R139","R139","9","8.5","スギ",82.7,"樹皮がかなりはがれている","06_R139",20061003,0,0,0
180,0,"R150","R150","1","7","ホオノキ",23.3,NA,"06_R150",20061003,0,0,0
180,0,"R151","R151","4","8","ホオノキ",22.2,NA,"06_R151",20061003,0,0,0
180,0,"R152","R152","1","3","スギ",119.4,"ラベルなし","06_R152",20061003,0,0,0
180,0,"R153","R153","4","0.5","ウワミズザクラ",19,"R153、154同株","06_R153",20061003,0,0,0
180,0,"R154","R153","4","0.5","ウワミズザクラ",21.7,"R153、154同株","06_R154",20061003,0,0,0
180,0,"R155","R155","8","2","ミズナラ",16.7,"Ｒ155-159同株","06_R155",20061003,0,0,0
180,0,"R156","R155","8","2","ミズナラ",23.5,"Ｒ155-159同株","06_R156",20061003,0,0,0
180,0,"R157","R155","8","2","ミズナラ",17.1,"Ｒ155-159同株","06_R157",20061003,0,0,0
180,0,"R158","R155","8","2","ミズナラ",19,"Ｒ155-159同株","06_R158",20061003,0,0,0
180,0,"R159","R155","8","2","ミズナラ",15,"Ｒ155-159同株","06_R159",20061003,0,-1,0
180,0,"R160","R160","8","0","ホオノキ",23.6,NA,"06_R160",20061003,0,0,0
180,0,"R161","R161","9.5","4","アカイタヤ",15.3,NA,"06_R161",20061003,0,-1,0
180,0,"R162","R162","5","10","ハクウンボク",16.2,NA,"06_R162",20061003,0,0,0
190,0,"R163","R163","2","9",NA,17.2,"落葉のため不明、シウリザクラ？","06_R163",20061003,0,0,0
190,0,"R164","R164","2","6","アカイタヤ",17.7,NA,"06_R164",20061003,0,0,0
190,0,"R165","R165","4","5",NA,NA,"枯れ17.4クサギ?","06_R165",20061003,1,-1,0
190,0,"R166","R166","3","4","ハクウンボク",15.6,NA,"06_R166",20061003,0,-1,0
190,0,"R167","R167","3","4","タラノキ",17.9,NA,"06_R167",20061003,0,0,0
190,0,"R168","R168","5","0.5",NA,NA,"枯れ？，広葉樹　マメ科18.3","06_R168",20061003,1,-1,0
190,0,"R169","R169","5","3","クサギ",15.5,NA,"06_R169",20061003,0,-1,0
190,0,"R170","R170","10","9","アワブキ",20.4,"R170-174　同株","06_R170",20061003,0,0,0
190,0,"R171","R170","10","9","アワブキ",16.4,"R170-174　同株","06_R171",20061003,0,0,0
190,0,"R172","R170","10","9","アワブキ",21.6,"R170-174　同株","06_R172",20061003,0,0,0
190,0,"R173","R170","10","9","アワブキ",42.3,"R170-174　同株","06_R173",20061003,0,0,0
190,0,"R174","R170","10","9","アワブキ",36.2,"R170-174　同株","06_R174",20061003,0,0,0
190,0,"R175","R175","8","7","アワブキ",15.7,NA,"06_R175",20061003,0,0,0
190,0,"R176","R176","7","8",NA,15,"シウリザクラ？","06_R176",20061003,0,-1,0
0,10,"R236","P146","5.0 ","6.0 ","スギ",167.6,NA,"02_P146",20061003,0,0,0
0,10,"R237","P561","5.0 ","6.0 ","コミネカエデ",23.9,"0.8mＨで２分岐","02_P561",20061003,0,0,0
0,10,"R238","P561","5.0 ","6.0 ","コミネカエデ",31.2,"0.8mＨで２分岐","06_R238",20061003,0,0,0
0,10,"R239","P562","5.0 ","7.0 ","コミネカエデ",31.1,NA,"02_P562",20061003,0,0,0
10,10,"R226","P143","7.0 ","4.0 ","スギ",289.9,NA,"02_P143",20061003,0,0,0
10,10,"R227","P144","9.0 ","9.0 ","スギ",147.6,NA,"02_P144",20061003,0,0,0
10,10,"R228","P556","2.0 ","8.0 ","トチノキ",66.5,"0.8mHで2分岐","02_P556",20061003,0,0,0
10,10,"R229","P556","2.0 ","8.0 ","トチノキ",49.8,"0.8mHでR228と2分岐","06_R229",20061003,0,0,0
10,10,"R230","P557","2.0 ","4.0 ","アカイタヤ",66.4,NA,"02_P557",20061003,0,0,0
20,10,NA,NA,NA,NA,NA,NA,"B:-4, B:-5 測定対象なし",NA,20061003,2,0,0
30,10,NA,NA,NA,NA,NA,NA,"B:-4, B:-5 測定対象なし",NA,20061003,2,0,0
40,10,"R216","P553","7.0 ","3.0 ","アワブキ",25.9,NA,"02_P553",20061003,0,0,0
40,10,"R212","R212","7.0 ","2.0 ","トチノキ",176.7,"新規　真横に数m寝たのみ　直上","06_R212",20061003,0,0,0
50,10,"R207","P130","2.0 ","4.0 ","スギ",361.2,"南側","02_P130",20061003,0,0,0
50,10,"R208","P137","0.0 ","0.0 ","スギ",354.1,NA,"02_P137",20061003,0,0,0
50,10,"R204","P55","5.0 ","1.0 ","トチノキ",107.7,"南側　測定位置ペンキなし","02_P550",20061003,0,0,0
50,10,"R205","P551","3.0 ","3.0 ","ヤマモミジ",50.3,"南側","02_P551",20061003,0,0,0
50,10,"R206","P552","2.0 ","2.0 ","トチノキ",19.8,"南側","02_P552",20061003,0,0,0
60,10,"R179","P127","3.0 ","2.0 ","スギ",298.1,"南側","02_P127",20061003,0,0,0
60,10,"R180","P127","3.0 ","3.0 ","スギ",210.9,"新規　Ｒ179と同株","06_R180",20061003,0,0,0
60,10,"R202","R202","1.0 ","5.0 ","ノリウツギ",18.9,"新規　Ｒ202、203同株","06_R202",20061003,0,0,0
60,10,"R203","R202","1.0 ","5.0 ","ノリウツギ",24.5,"新規　Ｒ202、203同株","06_R203",20061003,0,0,0
70,10,"R108","Y13","4","1.5","スギ",293.8,"ツル抜き　＝アベP121","00_Y13",20061003,0,0,0
70,10,"P122","Y14","4","5","スギ",312.5,NA,"00_Y14",20061003,0,0,0
70,10,"P123","Y15","2","9","スギ",313.6,"ペンキのラインが曲がっている","00_Y15",20061003,0,0,0
80,10,"P126","Y10","9.5","4","スギ",246.2,NA,"00_Y10",20061003,0,0,0
80,10,"P125","Y11","8","1.5","スギ",364.4,NA,"00_Y11",20061003,0,0,0
80,10,"P124","Y12","5","6.5","スギ",193.4,NA,"00_Y12",20061003,0,0,0
80,10,"P547","Y16","2","8","トチノキ",102.1,NA,"00_Y16",20061003,0,0,0
90,10,NA,"41 ","7.7","0.2","スギ",NA,NA,"80_41",20061003,1,-1,0
90,10,"P541","Y03","2","1","アカイタヤ",75.4,"Ｙラベル割れ　","00_Y03",20061003,0,0,0
90,10,"P119","Y05","8","6","スギ",316.3,NA,"00_Y05",20061003,0,0,0
90,10,"P118","Y09","1","3","スギ",283.2,"ツル抜き","00_Y09",20061003,0,0,0
90,10,"P867","Y119","10","10","サワグルミ",NA,"13.4","04_Y119",20061003,2,0,0
90,10,"P864","Y120","10","3","クサギ",NA,"13.3","04_Y120",20061003,2,0,0
90,10,"P865","Y121","10","2.5","トチノキ",17.3,NA,"04_Y121",20061003,0,0,0
90,10,"P869","Y122","8","4","クサギ",16.3,NA,"04_Y122",20061003,0,0,0
90,10,"P543","Y123","7","7","ウワミズザクラ",17.5,NA,"02_P543",20061003,0,0,0
90,10,"P544","Y124","7","8","ウワミズザクラ",15.6,NA,"02_P544",20061003,0,-1,0
90,10,"P868","Y125","8","8","ウワミズザクラ",19.7,NA,"04_Y125",20061003,0,0,0
90,10,"P870","Y126","4","8","ノリウツギ",15.5,NA,"04_Y126",20061003,0,-1,0
90,10,"P871","Y127","4","9","ウワミズザクラ",17.5,NA,"04_Y127",20061003,0,0,0
90,10,"P542","Y128","0.5","4","ウワミズザクラ",16.4,"オオバクロモジをウワミズザクラに訂正","02_P542",20061003,0,0,0
100,10,NA,"37 ","0.5","8.5","ノリウツギ",NA,NA,"80_37",20061003,1,-1,0
100,10,NA,"38 ","2","4.9","ノリウツギ",NA,NA,"80_38",20061003,1,-1,0
100,10,NA,"39 ","2.3","4.3","スギ",NA,NA,"80_39",20061003,1,-1,0
100,10,"P862","P862","2","1","ウワミズザクラ",15.6,"新規","06_P862",20061003,0,-1,0
100,10,"P863","Y117","1","8","ノリウツギ",16.8,"120㎝で分かれる","04_Y117",20061003,0,0,0
100,10,"P866","Y25","1","9","ノリウツギ",17.6,NA,"00_Y25",20061003,0,0,0
110,10,"P112","P112","8.0 ","7.0 ","スギ",364.3,"ツル1本込み　座標は10×10Ｍ区内の座標","02_P112",20061003,0,0,0
110,10,"P113","P113","9.0 ","4.0 ","スギ",280.9,NA,"02_P113",20061003,0,0,0
110,10,"P521","P521","9.0 ","7.0 ","ホオノキ",NA,"折れ　0.8mくらい","02_P521",20061003,1,-1,0
110,10,"P523","P523","9.0 ","5.0 ","トチノキ",41,NA,"02_P523",20061003,0,0,0
120,10,"P506","P506","2.0 ","8.0 ","ホオノキ",39.2,NA,"02_P506",20061003,0,0,0
120,10,"P522","P522","2.5 ","9.0 ","コミネカエデ",41.4,NA,"02_P522",20061003,0,0,0
130,10,"P101","P101","3.0 ","1.0 ","スギ",262.6,NA,"02_P101",20061003,0,0,0
130,10,"P877","P102","1.0 ","3.0 ","スギ",239,"Pラベルなし","02_P102",20061003,0,0,0
130,10,"P103","P103","2.0 ","7.0 ","スギ",233.1,"コブの下方　前回のペンキなし　ツル抜き","02_P103",20061003,0,0,0
130,10,"P105","P105","9.5 ","9.0 ","スギ",186.5,"ツルはずし、ペンキなし","02_P105",20061003,0,0,0
130,10,"P880","P107","8.0 ","1.0 ","スギ",270.9,"前回（2002）間違いか？","02_P107",20061003,0,0,0
130,10,"P876","P876","0.5 ","9.5 ","ノリウツギ",19.7,"新規","06_P876",20061003,0,0,0
140,10,"P507","P507","1.0 ","8.0 ","コシアブラ",28.7,NA,"02_P507",20061003,0,0,0
140,10,"P508","P508","3.0 ","7.0 ","ホオノキ",20.6,NA,"02_P508",20061003,0,0,0
140,10,"P509","P509","5.0 ","8.0 ","トチノキ",15.2,NA,"02_P509",20061003,0,-1,0
140,10,"P510","P51","8.0 ","9.5 ","トチノキ",43.9,"ツル込み","02_P510",20061003,0,0,0
140,10,"P511","P511","8.0 ","9.5 ","トチノキ",39.2,NA,"02_P511",20061003,0,0,0
140,10,"P514","P514","0.0 ","2.0 ","マルバアオダモ",22.7,NA,"02_P514",20061003,0,0,0
140,10,"P885","P519","8.0 ","2.0 ","マルバアオダモ",19.5,"新規　P885、886同株　H0.5mで2分岐　ラベルP519落ち","02_P519",20061003,0,0,0
140,10,"P886","P519","8.0 ","2.0 ","マルバアオダモ",18,"新規　P885、886同株　H0.5mDE2分岐","06_P886",20061003,0,0,0
