#/log,DATA CREATED,データ作成日,20070801,,,,,,,
100,30,"B47","Y143","5","0.5","ハクウンボク",17.4,NA,"04_Y143",20061003,0,0,0
100,30,"B46","Y144","3","1","トチノキ",17.3,NA,"04_Y144",20061003,0,0,0
100,30,"B45","Y27","8","7.5","スギ",287.5,NA,"00_Y27",20061003,0,0,0
110,30,"B52","B52","6.5","9","トチノキ",111.6,NA,"06_B52",20061003,0,0,0
110,30,"B53","B53","4","10","スギ",283.4,NA,"06_B53",20061003,0,0,0
110,30,"B54","B54","1","9.5","スギ",259.6,"ツル入れずに測定（Ｂ54）","06_B54",20061003,0,0,0
110,30,"B55","B55","4","8.5","ウワミズザクラ",37.7,NA,"06_B55",20061003,0,0,0
110,30,"B56","B56","9.5","8.5","アワブキ",25.2,"Ｙ297と同じ（Ｂ56）","06_B56",20061003,0,0,0
110,30,"B57","B57","9.5","8","スギ",242,NA,"06_B57",20061003,0,0,0
110,30,"B58","B58","9.5","5","スギ",256.5,"Ｂ58　2又に分かれ、細い方が折れ","06_B58",20061003,0,0,0
110,30,"B59","B59","9","5","ホオノキ",28.8,NA,"06_B59",20061003,0,0,0
110,30,"B61","B61","8.5","4.5","ハクウンボク",35,NA,"06_B61",20061003,0,0,0
110,30,"B62","B62","6","4.5","トチノキ",23.1,NA,"06_B62",20061003,0,0,0
110,30,"B63","B63","5","4","ムラサキシキブ",21.6,NA,"06_B63",20061003,0,0,0
110,30,"B64","B64","10","1","スギ",168.7,NA,"06_B64",20061003,0,0,0
120,30,"B74","B74","3.5","7","トチノキ",26.4,NA,"06_B74",20061003,0,0,0
120,30,"B75","B75","5","6.5","ヤマグワ",15.5,NA,"06_B75",20061003,0,-1,0
120,30,"B76","B76","9.5","2","スギ",338,"B76 ツル込み","06_B76",20061003,0,0,0
120,30,"B77","B77","8.5","5","タラノキ",15.1,NA,"06_B77",20061003,0,-1,0
120,30,"B78","B78","7","1.5","スギ",264.5,"Ｂ78　ツル込み","06_B78",20061003,0,0,0
120,30,"B79","B79","4.5","1.5","スギ",269.8,NA,"06_B79",20061003,0,0,0
120,30,"B80","B80","2","0.5","アワブキ",22.2,"Ｂ80.81はＹ297と同じ種、同株","06_B80",20061003,0,0,0
120,30,"B81","B80","2","0.5","アワブキ",40.9,"Ｂ80.81はＹ297と同じ種、同株　Ｂ81ツル込み","06_B81",20061003,0,0,0
120,30,"B82","B82","8.5","9","ホオノキ",16.3,NA,"06_B82",20061003,0,0,0
130,30,"B83","B83","2","1","スギ",188.1,NA,"06_B83",20061003,0,0,0
130,30,"B84","B84","6","2.5","スギ",NA,"枯れ 幹折れ127.8","06_B84",20061003,1,-1,0
130,30,"B85","B85","7","3","トチノキ",25.9,NA,"06_B85",20061003,0,0,0
130,30,"B86","B86","8","3","エゴノキ",19.5,NA,"06_B86",20061003,0,0,0
130,30,"B87","B87","8","5","アカイタヤ",31.2,"87.88.89同株　1mで分岐","06_B87",20061003,0,0,0
130,30,"B88","B88","8","5","アカイタヤ",23.1,"87.88.89同株　1mで分岐","06_B88",20061003,0,0,0
130,30,"B89","B89","8","5","アカイタヤ",67.1,"87.88.89同株　主幹　ツルのためクネクネ","06_B89",20061003,0,0,0
130,30,"B90","B90","9","6",NA,NA,"枯れ17.1","06_B90",20061003,1,-1,0
130,30,"B91","B91","2","8","ハウチワカエデ",29.2,"91.92同株　","06_B91",20061003,0,0,0
130,30,"B92","B91","2","8","ハウチワカエデ",25.1,"91.92同株　1ｍあたりで分岐","06_B92",20061003,0,0,0
130,30,"B93","B93","5","3","ウワミズザクラ",23.1,"93，94同株","06_B93",20061003,0,0,0
130,30,"B94","B93","5","3","ウワミズザクラ",20.2,"93，94同株","06_B94",20061003,0,0,0
140,30,"B95","B95","1.5","8","スギ",224.4,"ラベル不明　95,96根元でつながっている","06_B95",20061003,0,0,0
140,30,"B96","B95?","1.5","8","スギ",278.8,"N側　ラベル不明　95,96根元でつながっている","06_B96",20061003,0,0,0
140,30,"B97","B97","3","5","ハクウンボク",15.3,"N側","06_B97",20061003,0,-1,0
140,30,"B98","B98","3","6","アワブキ",17.1,"N側","06_B98",20061003,0,0,0
140,30,"B99","B99","5","7","アワブキ",29.6,"N側","06_B99",20061003,0,0,0
150,30,"B100","B100","0.5","2","スギ",88.9,"N側 不明","06_B100",20061003,0,0,0
150,30,"B101","B101","4","4","トチノキ",23.3,"N側","06_B101",20061003,0,0,0
150,30,"B102","B102","1","2","アワブキ",15,NA,"06_B102",20061003,0,-1,0
150,30,"B103","B103","5","7","アワブキ",16.1,"103,104,105同株","06_B103",20061003,0,0,0
150,30,"B104","B104","5","7","アワブキ",16.3,"103,104,105同株","06_B104",20061003,0,0,0
150,30,"B105","B105","5","7","アワブキ",26.5,"103,104,105同株","06_B105",20061003,0,0,0
150,30,"B106","B106","7","5","タラノキ",20.3,NA,"06_B106",20061003,0,0,0
150,30,"B107","B107","9.5","0.5","ヌルデ",16.2,NA,"06_B107",20061003,0,0,0
150,30,"B108","B108","9.5","0.5","キブシ",20.4,NA,"06_B108",20061003,0,0,0
150,30,"B109","B109","8","5","アワブキ",24.9,NA,"06_B109",20061003,0,0,0
160,30,"B110","B110","2","7","ホオノキ",32.5,NA,"06_B110",20061003,0,0,0
160,30,"B111","B111","3","7",NA,15.6,"落葉シウリザクラ？","06_B111",20061003,0,-1,0
160,30,"B112","B112","4","5","ウワミズザクラ",29.2,NA,"06_B112",20061003,0,0,0
160,30,"B113","B113","4","3","ヌルデ",25.2,NA,"06_B113",20061003,0,0,0
160,30,"B114","B114","8","4","ウワミズザクラ",22.8,"114，115，116同株","06_B114",20061003,0,0,0
160,30,"B115","B114","8","4","ウワミズザクラ",20.5,"114，115，116同株","06_B115",20061003,0,0,0
160,30,"B116","B114","8","4","ウワミズザクラ",21.2,"114，115，116同株","06_B116",20061003,0,0,0
160,30,"B117","B117","10","0",NA,24,"シウリザクラ？","06_B117",20061003,0,0,0
160,30,"B118","B118","10","1","オオバクロモジ",15.9,NA,"06_B118",20061003,0,0,0
160,30,"B119","B119","3","9","ウワミズザクラ",24.8,NA,"06_B119",20061003,0,0,0
160,30,"B120","B120","6","9.5",NA,16.1,"落葉シウリザクラ？","06_B120",20061003,0,0,0
170,30,"B121","B121","1","3","タラノキ",34,"D-10は10㎝くらいのタラのよこ","06_B121",20061003,0,0,0
170,30,"B122","B122","2.5","5","シウリザクラ",23.4,"落葉　122.123同株","06_B122",20061003,0,0,0
170,30,"B123","B122","2.5","5","シウリザクラ",26.1,"落葉　122.123同株","06_B123",20061003,0,0,0
170,30,"B124","B124","6","0","シウリザクラ",20.2,"落葉　124,125,126同株","06_B124",20061003,0,0,0
170,30,"B125","B124","6","0","シウリザクラ",18.5,"落葉　124,125,126同株","06_B125",20061003,0,0,0
170,30,"B126","B124","6","0.5","シウリザクラ",21.4,"落葉　124,125,126同株","06_B126",20061003,0,0,0
170,30,"B127","B127","7","2","シウリザクラ",30.9,"落葉　","06_B127",20061003,0,0,0
170,30,"B128","B128","5","4","シウリザクラ",19.6,"落葉　","06_B128",20061003,0,0,0
170,30,"B129","B129","4","4.5","シウリザクラ",21.6,"落葉　","06_B129",20061003,0,0,0
170,30,"B130","B130","0.5","8",NA,NA,"枯れ木　GBH17.9","06_B130",20061003,1,-1,0
170,30,"B131","B131","1","8","サワグルミ",51.8,NA,"06_B131",20061003,0,0,0
170,30,"B132","B132","2","9","サワグルミ",39.7,NA,"06_B132",20061003,0,0,0
170,30,"B133","B133","7","8","サワグルミ",55.2,"133,134,135同株","06_B133",20061003,0,0,0
170,30,"B134","B133","7","8","サワグルミ",25.8,"133,134,135同株","06_B134",20061003,0,0,0
170,30,"B135","B133","7","8","サワグルミ",37.8,"133,134,135同株","06_B135",20061003,0,0,0
170,30,"B136","B136","8","3","シウリザクラ",17.1,"落葉","06_B136",20061003,0,0,0
170,30,"B137","B137","10","6.5","サワグルミ",30.9,NA,"06_B137",20061003,0,0,0
170,30,"B154","B154","3.5","0","ハクウンボク",18.7,"やり残しをＣ列の野帳より書き写す","06_B154",20061003,0,0,0
180,30,"B138","B138","0","5.5","サワグルミ",26.4,NA,"06_B138",20061003,0,0,0
180,30,"B139","B139","0","6","サワグルミ",27.8,NA,"06_B139",20061003,0,0,0
180,30,"B140","B140","0.5","5.5","サワグルミ",15.4,NA,"06_B140",20061003,0,-1,0
180,30,"B141","B141","1","7","サワグルミ",38.5,NA,"06_B141",20061003,0,0,0
180,30,"B142","B142","2","5","サワグルミ",28.5,NA,"06_B142",20061003,0,0,0
180,30,"B143","B143","3","3.5","サワグルミ",39.1,NA,"06_B143",20061003,0,0,0
180,30,"B144","B144","3","5","サワグルミ",28.2,NA,"06_B144",20061003,0,0,0
180,30,"B145","B145","3.5","5","サワグルミ",19.1,NA,"06_B145",20061003,0,0,0
180,30,"B146","B146","3","3","サワグルミ",37.5,NA,"06_B146",20061003,0,0,0
180,30,"B147","B147","4.5","3","サワグルミ",24.8,NA,"06_B147",20061003,0,0,0
180,30,"B148","B148","5","3","サワグルミ",18.9,NA,"06_B148",20061003,0,0,0
180,30,"B149","B149","4.5","3.5","サワグルミ",27,NA,"06_B149",20061003,0,0,0
180,30,"B150","B150","4","6","シウリザクラ",19.6,NA,"06_B150",20061003,0,0,0
180,30,"B151","B151","6","2","シウリザクラ",17.9,NA,"06_B151",20061003,0,0,0
180,30,"B152","B152","7","2",NA,NA,"枯れ？30.7","06_B152",20061003,1,-1,0
180,30,"B153","B153","6","9","サワグルミ",29,NA,"06_B153",20061003,0,0,0
190,30,"B275","B275","2.5","2.5","エゴノキ",19.6,NA,"06_B275",20061003,0,0,0
190,30,"B276","B276","6","1","ホオノキ",33.7,"276,277同株","06_B276",20061003,0,0,0
190,30,"B277","B276","6.1","1","ホオノキ",31.2,"276,277同株","06_B277",20061003,0,0,0
190,30,"B278","B278","9","4","スギ",264.5,"旧Ｗ3383かな？","06_B278",20061003,0,0,0
190,30,"B279","B279","7.5","6","スギ",144,NA,"06_B279",20061003,0,0,0
190,30,"B280","B280","9","8","スギ",305.3,"メジャーは水平に！","06_B280",20061003,0,0,0
190,30,"B281","B281","6.1","8","エゴノキ",16,"281,282同株","06_B281",20061003,0,0,0
190,30,"B282","B281","6","8","エゴノキ",16.6,"281,282同株","06_B282",20061003,0,0,0
190,30,"B283","B283","1","7","ヌルデ",18.2,NA,"06_B283",20061003,0,0,0
190,30,"B284","B284","2","5","ハクウンボク",19.6,NA,"06_B284",20061003,0,0,0
0,40,"Y350","Y350","9","8","スギ",217.2,NA,"06_Y350",20061003,0,0,0
0,40,"Y351","Y351","6","8","スギ",265,NA,"06_Y351",20061003,0,0,0
0,40,"Y352","Y352","5","4","スギ",247.7,NA,"06_Y352",20061003,0,0,0
0,40,"Y353","Y353","4","4","トチノキ",50.8,NA,"06_Y353",20061003,0,0,0
0,40,"Y354","Y354","1","6","ノリウツギ",16.7,"354、355同じ幹　1mHから直上","06_Y354",20061003,0,0,0
0,40,"Y355","Y354","1","6","ノリウツギ",26.7,"354、355同じ幹　斜上","06_Y355",20061003,0,0,0
0,40,"Y356","Y356","4","9.5",NA,15.9,"添伸","06_Y356",20061003,0,0,0
0,40,"Y357","Y357","0","9.5","スギ",62.6,"W無し","06_Y357",20061003,0,0,0
0,40,"Y358","Y358","3","3",NA,34.5,"アワブキ？","06_Y358",20061003,0,0,0
10,40,"Y345","Y345","8","3","トチノキ",79.9,NA,"06_Y345",20061003,0,0,0
10,40,"Y346","Y346","6","5","スギ",250.5,NA,"06_Y346",20061003,0,0,0
10,40,"Y347","Y347","8","0.5","スギ",168.7,NA,"06_Y347",20061003,0,0,0
10,40,"Y348","Y348","7","1","スギ",299.1,NA,"06_Y348",20061003,0,0,0
10,40,"Y349","Y349","3","10","トチノキ",80.4,NA,"06_Y349",20061003,0,0,0
20,40,"Y340","Y340","8","7","ノリウツギ",15.4,NA,"06_Y340",20061003,0,-1,0
20,40,"Y341","Y341","8","6","スギ",396.2,NA,"06_Y341",20061003,0,0,0
20,40,"Y342","Y342","2","1","スギ",274.3,NA,"06_Y342",20061003,0,0,0
20,40,"Y343","Y343","2","8","スギ",353.2,NA,"06_Y343",20061003,0,0,0
20,40,"Y344","Y344","1","7",NA,30,"エゴノキ？","06_Y344",20061003,0,0,0
20,40,"W1239",NA,NA,NA,"スギ",NA,"枯れ、新札つけず、旧白札のみ98.2","06_W1239",20061003,1,-1,0
30,40,NA,NA,NA,NA,NA,NA,"D:-4とE:-4 測定対象なし",NA,20061003,2,0,0
40,40,"Y339","Y339","5","3",NA,18.5,"幹にぶつぶつ、添伸","06_Y339",20061003,0,0,0
50,40,"Y331","Y331","8.5","1.5","エゴノキ",23,"木道の上","06_Y331",20061003,0,0,0
50,40,"Y332","Y332","6.5","3","エゴノキ",15.2,NA,"06_Y332",20061003,0,-1,0
50,40,"Y333","Y333","6","1",NA,17.2,"幹にぶつぶつ、添伸","06_Y333",20061003,0,0,0
50,40,"Y334","Y334","3.5","0","ノリウツギ",21.8,NA,"06_Y334",20061003,0,0,0
50,40,"Y335","Y335","5","2","スギ",133.2,NA,"06_Y335",20061003,0,0,0
50,40,"Y336","Y336","9","6","スギ",283.3,NA,"06_Y336",20061003,0,0,0
50,40,"Y337","Y337","9","7","エゴノキ",27,NA,"06_Y337",20061003,0,0,0
50,40,"Y338","Y338","3","8","スギ",418.1,NA,"06_Y338",20061003,0,0,0
60,40,"Y326","Y326","8","8","スギ",240.8,NA,"06_Y326",20061003,0,0,0
60,40,"Y327","Y327","5","8","スギ",301.9,NA,"06_Y327",20061003,0,0,0
60,40,"Y328","Y328","4","4",NA,22,"エゴノキ？","06_Y328",20061003,0,0,0
60,40,"Y329","Y329","3","2",NA,30.5,"ハクウンボク？","06_Y329",20061003,0,0,0
60,40,"Y330","Y330","1","10","スギ",263.1,NA,"06_Y330",20061003,0,0,0
70,40,"Y186","Y186","6","9.5","ノリウツギ",25.4,NA,"04_Y186",20061003,0,0,0
70,40,"Y50","Y50","1","4.5","トチノキ",78,NA,"00_Y50",20061003,0,0,0
70,40,"Y51","Y50","1","4","トチノキ",18.3,NA,"00_Y51",20061003,0,0,0
70,40,"Y52","Y52","1","5.5","スギ",182.4,NA,"00_Y52",20061003,0,0,0
70,40,"Y53","Y53","2","9","スギ",186.2,"ふだ回収","00_Y53",20061003,0,0,0
70,40,"Y54","Y54","7","7","ハクウンボク",34,NA,"00_Y54",20061003,0,0,0
70,40,"Y55","Y55","6","2","スギ",238.9,NA,"00_Y55",20061003,0,0,0
70,40,"Y56","Y56","7","1.5","コミネカエデ",20.6,NA,"00_Y56",20061003,0,0,0
70,40,"Y57","Y56","7","1","コミネカエデ",NA,"13.5","00_Y57",20061003,2,0,0
70,40,"Y58","Y58","10","2","トチノキ",22.5,NA,"00_Y58",20061003,0,0,0
70,40,"Y60","Y60","8","8","スギ",205,NA,"00_Y60",20061003,0,0,0
70,40,"Y61","Y61","9","8","ノリウツギ",19.9,NA,"00_Y61",20061003,0,0,0
70,40,"Y63","Y63","8","6","ノリウツギ",19.3,NA,"00_Y63",20061003,0,0,0
80,40,NA,"12 ","1.2","1.2","スギ",NA,NA,"80_12",20061003,1,-1,0
80,40,"Y180","Y180","4","9.5","サワグルミ",15.3,NA,"04_Y180",20061003,0,-1,0
80,40,"Y181","Y181","2","1","ノリウツギ",NA,"14","04_Y181",20061003,2,0,0
80,40,"Y182","Y182","2","6","ノリウツギ",NA,"14.1","04_Y182",20061003,2,0,0
80,40,"Y183","Y183","3","2","ノリウツギ",NA,"13.5","04_Y183",20061003,2,0,0
80,40,"Y292","Y185","7","5","ウワミズザクラ",NA,"13.7札落ち　キブシをキウワミズザクラに訂正","04_Y185",20061003,2,0,0
80,40,"Y59","Y59","2","0.8","スギ",68,NA,"00_Y59",20061003,0,0,0
80,40,"Y62-1","Y62","0.5","8","ノリウツギ",NA,"14.6","00_Y62-1",20061003,2,0,0
80,40,"Y62-2","Y62","0.3","8","ノリウツギ",16.2,NA,"00_Y62-2",20061003,0,0,0
80,40,"Y64","Y64","2","10","トチノキ",25.5,NA,"00_Y64",20061003,0,0,0
80,40,"Y65","Y65","6","8","スギ",314.2,NA,"00_Y65",20061003,0,0,0
80,40,"Y66","Y66","7","5","ウワミズザクラ",22.5,NA,"00_Y66",20061003,0,0,0
80,40,"Y67","Y67","6.5","3.5","スギ",303.6,NA,"00_Y67",20061003,0,0,0
80,40,"Y179","Y71","9.5","9.5","ノリウツギ",15.4,"Y71,179同株","04_Y179",20061003,0,-1,0
90,40,NA,"5 ","6.7","3.6","スギ",NA,NA,"80_5",20061003,1,-1,0
90,40,"Y178","Y178","4","3","クサギ",NA,"13.1","04_Y178",20061003,2,0,0
90,40,"Y184","Y184","2","4","ホオノキ",21.6,"倒伏","04_Y184",20061003,0,0,0
90,40,"Y293","Y68","1","5","トチノキ",25,NA,"00_Y68",20061003,0,0,0
90,40,"Y291","Y69","2","2","スギ",238.2,NA,"00_Y69",20061003,0,0,0
90,40,"Y70","Y70","5","3","トチノキ",24.5,NA,"00_Y70",20061003,0,0,0
90,40,"Y71","Y71","0.5","9.5","ノリウツギ",15,"Ｙ71、179と同株","00_Y71",20061003,0,-1,0
100,40,NA,"1 ","8.1","5.7","スギ",NA,NA,"80_1",20061003,1,-1,0
100,40,"Y176","Y176","5","1","イイギリ",18.7,"層状","04_Y176",20061003,0,0,0
100,40,"Y177","Y177","4","8","オオバクロモジ",NA,"14.3","04_Y177",20061003,2,0,0
100,40,"Y72","Y72","3.5","9.5","スギ",305,NA,"00_Y72",20061003,0,0,0
100,40,"Y73","Y73","7","8","クサギ",NA,"14.6","00_Y73",20061003,2,0,0
100,40,"Y74","Y74","8.5","3","トチノキ",25.8,NA,"00_Y74",20061003,0,0,0
100,40,"Y294","Y75","9","1","トチノキ",24.2,NA,"00_Y75",20061003,0,0,0
110,40,"Y295","Y295","3","8","スギ",291.8,NA,"06_Y295",20061003,0,0,0
110,40,"Y296","Y296","7","9","ハウチワカエデ",23.5,NA,"06_Y296",20061003,0,0,0
110,40,"Y297","Y297","3.5","9","アワブキ",27,NA,"06_Y297",20061003,0,0,0
110,40,"Y298","Y298","3.5","9","アワブキ",23.8,NA,"06_Y298",20061003,0,0,0
110,40,"Y299","Y299","9","2.5","ハウチワカエデ",27.7,NA,"06_Y299",20061003,0,0,0
110,40,"Y300","Y300","8.5","3","アカイタヤ",94.1,NA,"06_Y300",20061003,0,0,0
120,40,"Y302","Y302","3","4","スギ",265.2,"Ｙ302　ツル込み","06_Y302",20061003,0,0,0
120,40,"Y303","Y303","3.5","5","アワブキ",53.5,"Ｙ303〜306はＹ297と同じ、同株","06_Y303",20061003,0,0,0
120,40,"Y304","Y303","3.5","5","アワブキ",15.4,"Ｙ303〜306はＹ297と同じ、同株","06_Y304",20061003,0,-1,0
120,40,"Y305","Y303","3.5","5","アワブキ",28.8,"Ｙ303〜306はＹ297と同じ、同株","06_Y305",20061003,0,0,0
120,40,"Y306","Y303","3.5","5","アワブキ",17.5,"Ｙ303〜306はＹ297と同じ、同株","06_Y306",20061003,0,0,0
130,40,"Y251","Y251","6","2","スギ",242.7,"尾根上","06_Y251",20061003,0,0,0
130,40,"Y252","Y252","5.5","2","アカイタヤ",71.5,"尾根上","06_Y252",20061003,0,0,0
130,40,"Y254","Y254","5","9.5","スギ",193.8,"尾根上","06_Y254",20061003,0,0,0
130,40,"Y255","Y255","5","9","ヤマモミジ",58.1,"尾根上","06_Y255",20061003,0,0,0
130,40,"Y256","Y256","5","2","スギ",195.4,"南側斜面","06_Y256",20061003,0,0,0
130,40,"Y257","Y257","1.5","6","アオハダ",46.8,"南側斜面　Ｙ257，258同株","06_Y257",20061003,0,0,0
130,40,"Y258","Y257","1.5","6","アオハダ",42.4,"南側斜面　Ｙ257，258同株","06_Y258",20061003,0,0,0
130,40,"Y259","Y259","2","1","スギ",116.7,"Ｙ259　主軸先折れ　南側斜面","06_Y259",20061003,0,0,0
130,40,"Y260","Y260","9","1","クリ",17.4,"尾根上","06_Y260",20061003,0,0,0
130,40,"Y261","Y261","9.5","7","スギ",264,"北側斜面　ツルをはぐ","06_Y261",20061003,0,0,0
130,40,"Y262","Y262","8","9","スギ",263,"北側斜面　ツルをはぐ　コブの上で測る","06_Y262",20061003,0,0,0
130,40,"Y263","Y263","9.5","9.5","オオヤマザクラ",27.1,"北側斜面","06_Y263",20061003,0,0,0
130,40,"Y264","Y264","10","9","ハウチワカエデ",24,"北側斜面","06_Y264",20061003,0,0,0
130,40,"Y265","Y265","7","9","ホオノキ",18.4,"西に落ち始め","06_Y265",20061003,0,0,0
130,40,"Y266","Y266","4","8","ハクウンボク",19.3,"西に落ち始め","06_Y266",20061003,0,0,0
130,40,"Y307","Y307","1","3","アワブキ",21.7,"Ｙ307　Ｙ297と同じ　南側斜面","06_Y307",20061003,0,0,0
130,40,"Y308","Y308","1","4.5","アワブキ",27.3,"Ｙ308　Ｙ297と同じ　南側斜面","06_Y308",20061003,0,0,0
130,40,"Y309","Y309","1","5","スギ",190.6,"南側斜面","06_Y309",20061003,0,0,0
130,40,"Y310","Y310","1","10","アカイタヤ",42.2,NA,"06_Y310",20061003,0,0,0
140,40,"Y267","Y267","1","7","アワブキ",31.6,NA,"06_Y267",20061003,0,0,0
140,40,"Y268","Y268","3","7.5","アカイタヤ",59.2,NA,"06_Y268",20061003,0,0,0
140,40,"Y269","Y269","4","7","アワブキ",16,NA,"06_Y269",20061003,0,0,0
140,40,"Y270","Y270","4","8","ナナカマド",15.5,NA,"06_Y270",20061003,0,-1,0
140,40,"Y271","Y271","6","1","ハクウンボク",37.8,"根返り","06_Y271",20061003,0,0,0
140,40,"Y272","Y272","9","3","アカシデ",61.7,"倒伏、根元Ｘ、Ｙ＝1,1　側枝立ち","06_Y272",20061003,0,0,0
150,40,"Y273","Y273","6","8","ホオノキ",36,NA,"06_Y273",20061003,0,0,0
150,40,"Y274","Y274","8","8.5",NA,26.5,"幹折れ、芽のみ生き、種名？ウワミズザクラ?シウリかも","06_Y274",20061003,0,0,0
150,40,"Y275","Y275","8","7.5","ウワミズザクラ",19,"275，276同株　先折れ、側枝立ち","06_Y275",20061003,0,0,0
150,40,"Y276","Y275","8","7.4","ウワミズザクラ",20.1,"275，276同株　先折れ、側枝立ち","06_Y276",20061003,0,0,0
150,40,"Y277","Y277","6","2","イイギリ",35.9,NA,"06_Y277",20061003,0,0,0
150,40,"Y278","Y278","8","2","タラノキ",16.2,NA,"06_Y278",20061003,0,0,0
160,40,"Y279","Y279","4","3",NA,28.7,"葉なし　ウワミズザクラ？?シウリザクラ？？","06_Y279",20061003,0,0,0
160,40,"Y280","Y280","8","1","エゴノキ",16.1,"倒れ","06_Y280",20061003,0,0,0
170,40,"Y281","Y281","3","0","サワグルミ",67.7,"ギャップ中央付近","06_Y281",20061003,0,0,0
170,40,"Y282","Y282","4","0","クサギ",19.6,NA,"06_Y282",20061003,0,0,0
170,40,"Y283","Y283","6","4","トチノキ",28.6,NA,"06_Y283",20061003,0,0,0
170,40,"Y284","Y284","7","5","トチノキ",26,NA,"06_Y284",20061003,0,0,0
170,40,"Y285","Y285","2","10","クサギ",22.7,NA,"06_Y285",20061003,0,0,0
170,40,"Y286","Y286","5","9.5","トチノキ",32.4,NA,"06_Y286",20061003,0,0,0
170,40,"Y287","Y287","8","7","スギ",15.7,"更新木、切り株上","06_Y287",20061003,0,0,0
170,40,"Y288","Y288","9","8","スギ",23.9,"更新木、切り株上","06_Y288",20061003,0,0,0
170,40,"Y288.1","Y288.1","8.5","4","サワグルミ",27,NA,"06_Y288",20061003,0,0,0
170,40,"Y289","Y289","9","3",NA,16.3,"種・要確認　落葉","06_Y289",20061003,0,0,0
170,40,"Y311","Y311","9.5","2","クサギ",NA,"立ち枯れ19","06_Y311",20061003,1,-1,0
170,40,"Y312","Y312","9.5","5",NA,NA,"立ち枯れ、種不明23.9","06_Y312",20061003,1,-1,0
180,40,"Y313","Y313","5","7","エゴノキ",19.5,"倒れ","06_Y313",20061003,0,0,0
180,40,"Y314","Y314","8","6","サワグルミ",48.8,NA,"06_Y314",20061003,0,0,0
180,40,"Y315","Y315","9.5","4","タラノキ",19.7,NA,"06_Y315",20061003,0,0,0
190,40,"Y316","Y316","1","8",NA,19.8,"アワブキ？シウリかも","06_Y316",20061003,0,0,0
190,40,"Y317","Y317","3","9","アカイタヤ",15.7,NA,"06_Y317",20061003,0,0,0
190,40,"Y318","Y318","6","8","マルバマンサク",16.6,NA,"06_Y318",20061003,0,0,0
190,40,"Y319","Y319","9","7","スギ",200.1,NA,"06_Y319",20061003,0,0,0
190,40,"Y320","Y320","10.5","6","スギ",216.8,"枠外","06_Y320",20061003,0,0,0
190,40,"Y321","Y321","9","1.1","エゴノキ",17.4,"321，322，323　同株","06_Y321",20061003,0,0,0
190,40,"Y322","Y321","9","1","エゴノキ",16.3,"321，322，323　同株","06_Y322",20061003,0,0,0
190,40,"Y323","Y321","9","0.9","エゴノキ",18.2,"321，322，323　同株","06_Y323",20061003,0,0,0
190,40,"Y324","Y324","5","6.5","サンショウ",16.8,"トゲに気をつける","06_Y324",20061003,0,0,0
190,40,"Y325","Y325","6","7","ハクウンボク",16.7,NA,"06_Y325",20061003,0,0,0
