#/log,DATA CREATED,データ作成日,,20180320,,,,,,,,
#/doc,DATA CREATER,データ作成者,,大久保達弘、逢沢峰昭、荒井美香,,,,,,,,
#,DATA TITLE,データ名,,Temporal Change in Tree Girth at Breast Height at那須,,,,,,,,
#,PLOT NAME,調査地名,,那須,,,,,,,,
#,PLOT SIZE,面積,,0.3ha,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,,10ｍ方形区ｘ座標,,,,,,,,
#,,mesh_ｙcord,,10ｍ方形区ｙ座標,,,,,,,,
#,,tag_no,,幹タグ番号,,,,,,,,
#,,indv_no,,個体タグ番号,,,,,,,,
#,,stem_xcord,,幹のx座標（10m方形区内での座標）,,,,,,,,
#,,stem_ycord,,幹のｙ座標（10m方形区内での座標）,,,,,,,,
#,,spc_japan,,種名,,,,,,,,
#,,gbh,,胸高周囲長〔cm〕,,,,,,,,
#,,note,,備考,,,,,,,,
#,,s_data,,調査日,,,,,,,,
#,,,,,,,,,,,,
#/note,,,,,,,,,,,,
#,201710217,データ確認（日野）,,,,,,,,,,
#,,gbhのセルに大文字のNA→モニ1000入力規則に合わせnaを入力,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh09","gbh14","note09","note14","s_date09","s_date14","dl09","dl14","rec09","rec14","error09","error14"
0,0,"244",NA,6.1,9.3,"ハクウンボク",68.4,71,NA,NA,20090823,20140901,0,0,0,0,0,0
0,0,"245",NA,0.6,4.3,"コバノトネリコ",29.8,33.1,NA,NA,20090823,20140901,0,0,0,0,0,0
0,0,"246",NA,1.5,0.8,"ヒトツバカエデ",31.3,34.6,NA,NA,20090823,20140901,0,0,0,0,0,0
0,0,"247",NA,3,0.2,"ヒトツバカエデ",24.3,26.6,NA,NA,20090823,20140901,0,0,0,0,0,0
0,0,"248",NA,4.5,3,"ブナ",18.9,22.5,NA,NA,20090823,20140901,0,0,0,0,0,0
0,0,"249",NA,6.7,1,"ブナ",272.2,273,"枯死に近い(葉少ない)","上部枯",20090823,20140901,0,0,0,0,0,0
0,0,"250",NA,5.3,1.5,"ウラジロノキ",22.7,25.8,NA,NA,20090823,20140901,0,0,0,0,0,0
0,0,"251",NA,8.3,3.2,"ナツツバキ",37,39.8,NA,NA,20090823,20140901,0,0,0,0,0,0
0,0,"252",NA,8,1.8,"ツリバナ",19,19.8,NA,NA,20090823,20140901,0,0,0,0,0,0
0,10,"14091",NA,6.3,9,"ブナ",203.1,210,NA,"Tag落ち→14901",20090823,20140901,0,0,0,0,0,0
0,10,"240",NA,2.7,9,"ミズナラ",75.7,77.2,NA,NA,20090823,20140901,0,0,0,0,0,0
0,10,"241",NA,0.5,4.5,"ハリギリ",251.5,259.1,"幹えぐれている",NA,20090823,20140901,0,0,0,0,0,0
0,10,"242",NA,3.3,4.8,"カジカエデ",84.1,88.2,NA,NA,20090823,20140901,0,0,0,0,0,0
0,10,"243",NA,3.4,2,"コバノトネリコ",20.5,20.9,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"229",NA,6.6,5.9,"コバノトネリコ",27.9,29.5,NA,"(6.6、0.7)→(6.6、5.9)",20090823,20140901,0,0,0,0,0,0
0,20,"230",NA,6.6,5.9,"コバノトネリコ",16.1,16.3,NA,"(6.6、0.7)→(6.6、5.9)",20090823,20140901,0,0,0,0,0,0
0,20,"231",NA,7.8,9,"アワブキ",64.4,65.9,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"232",NA,7.8,9,"アワブキ",44.1,46.3,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"233",NA,7.8,9,"アワブキ",26.8,27.6,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"234",NA,7.8,9,"アワブキ",24,24.5,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"235",NA,9.2,5.9,"ツリバナ",29.9,30,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"236",NA,2.5,5.5,"ホオノキ",37.3,41.9,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"237",NA,2.5,10,"ウリハダカエデ",70.6,74.5,NA,NA,20090823,20140901,0,0,0,0,0,0
0,20,"238",NA,9.7,1,"ツリバナ",26,26.6,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"213",NA,5.7,5.4,"ホオノキ",24,25.2,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"214",NA,5.5,7,"ミズキ",89,99.4,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"215",NA,6.4,9.3,"ミズキ",85.5,92.4,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"216",NA,6.1,9.3,"コバノトネリコ",21.1,22.3,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"217",NA,1.4,7,"ミズキ",50.8,54.3,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"218",NA,1,7.5,"ミズキ",78.5,83.7,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"219",NA,2.5,7.5,"ヤマボウシ",16.2,16.4,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"220",NA,3,6.4,"ホオノキ",25.7,26.5,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"221",NA,0.7,0.2,"ミズキ",51.5,62.7,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"222",NA,0.5,2,"オオヤマザクラ",18.5,20.4,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"223",NA,1,5,"ミズキ",63.7,66,"ツル巻いている(ツルをはがして測定)",NA,20090823,20140901,0,0,0,0,0,0
0,30,"224",NA,4,2.5,"クマシデ",84.3,89,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"225",NA,4.5,2,"コバノトネリコ",28.1,30.2,NA,NA,20090823,20140901,0,0,0,0,0,0
0,30,"14902",NA,3.2,1.8,"コバノトネリコ",19.3,20.8,NA,"Tag落ち→14902",20090823,20140901,0,0,0,0,0,0
0,30,"14903",NA,6.2,3,"イタヤカエデ",16.5,17,NA,"Tag落ち→14903",20090823,20140901,0,0,0,0,0,0
0,30,"-",NA,8,1.4,"ヒトツバカエデ",21.5,NA,NA,"sd、Tag回収",20090823,20140901,0,1,0,0,0,0
0,40,"209",NA,1,5.2,"クマシデ",165.5,169,NA,NA,20090823,20140901,0,0,0,0,0,0
0,40,"-",NA,3.4,9.7,"ミズナラ",114,NA,"ツル巻いている(ツタウルシはがして測定)","sd、Tag回収",20090823,20140901,0,1,0,0,0,0
0,40,"211",NA,0.3,0.4,"ミズキ",62.9,67.4,"ツル巻いている(ツルはがして測定)",NA,20090823,20140901,0,0,0,0,0,0
0,40,"14904",NA,4.9,1,"コバノトネリコ",16.3,17.1,NA,"Tag落ち→14904",20090823,20140901,0,0,0,0,0,0
10,0,"168",NA,0.8,0.9,"コバノトネリコ",24.8,27.6,NA,NA,20090823,20140901,0,0,0,0,0,0
10,0,"169",NA,1.1,3.7,"ヒトツバカエデ",34.2,36.9,NA,NA,20090823,20140901,0,0,0,0,0,0
10,0,"170",NA,1.1,3.7,"ヒトツバカエデ",16.9,20.8,NA,NA,20090823,20140901,0,0,0,0,0,0
10,0,"171",NA,3.8,4.2,"シロヤシオ",28.6,29.7,NA,NA,20090823,20140901,0,0,0,0,0,0
10,0,"14861",NA,3.4,3,"ブナ",244.7,250,NA,"Tag落ち→14861",20090823,20140901,0,0,0,0,0,0
10,0,"173",NA,5.1,2.5,"ツリバナ",20.5,20.9,NA,NA,20090823,20140901,0,0,0,0,0,0
10,0,"174",NA,5.5,4.3,"ヒトツバカエデ",28.4,29.3,NA,NA,20090823,20140901,0,0,0,0,0,0
10,0,"175",NA,7,8.5,"ヒトツバカエデ",31.1,32.9,NA,NA,20090823,20140901,0,0,0,0,0,0
10,10,"-",NA,0.4,4.6,"コバノトネリコ",43.6,NA,NA,"up、Tag回収",20090823,20140901,0,1,0,0,0,0
10,10,"-",NA,0.4,4.6,"コバノトネリコ",16.7,NA,NA,"up、Tag回収",20090823,20140901,0,1,0,0,0,0
10,10,"178",NA,2.7,4,"ツリバナ",21.9,22.8,NA,NA,20090823,20140901,0,0,0,0,0,0
10,10,"14862",NA,3.1,2,"ヒトツバカエデ",43.5,44.4,NA,"Tag→落ち14862",20090823,20140901,0,0,0,0,0,0
10,10,"14863",NA,3.1,2,"ヒトツバカエデ",21.1,25.9,NA,"Tag→落ち14863",20090823,20140901,0,0,0,0,0,0
10,10,"-",NA,4,2.3,"ツリバナ",17.2,NA,NA,"sb、Tag回収",20090823,20140901,0,1,0,0,0,0
10,10,"182",NA,4.4,0.9,"コバノトネリコ",26.3,28.9,NA,NA,20090823,20140901,0,0,0,0,0,0
10,10,"183",NA,9,2,"ヒトツバカエデ",15.5,17,NA,NA,20090823,20140901,0,0,-1,1,0,0
10,10,"184",NA,6.2,6,"ヒトツバカエデ",33.8,35.5,NA,NA,20090823,20140901,0,0,0,0,0,0
10,10,"185",NA,9.3,6.2,"ヒトツバカエデ",22.5,22.8,NA,"先枯れ",20090823,20140901,0,0,0,0,0,0
10,10,"-",NA,3,7.5,"リョウブ",32.1,NA,NA,"up、Tag回収",20090823,20140901,0,1,0,0,0,0
10,20,"187",NA,0.6,4.5,"コバノトネリコ",19.5,20.3,NA,NA,20090823,20140901,0,0,0,0,0,0
10,20,"188",NA,4.4,1.5,"ミズナラ",170.4,172.7,NA,NA,20090823,20140901,0,0,0,0,0,0
10,20,"-",NA,7.5,7.5,"ツリバナ",34.8,NA,NA,"sd、Tag回収",20090823,20140901,0,1,0,0,0,0
10,20,"190",NA,4.2,5.2,"ナツツバキ",62.1,66,NA,"先枯れ",20090823,20140901,0,0,0,0,0,0
10,30,"191",NA,7.5,4,"クマシデ",106.2,110.3,NA,NA,20090823,20140901,0,0,0,0,0,0
10,30,"192",NA,7.5,4,"クマシデ",100.1,103,NA,NA,20090823,20140901,0,0,0,0,0,0
10,30,"193",NA,8.5,8,"コバノトネリコ",58.2,59.1,NA,NA,20090823,20140901,0,0,0,0,0,0
10,30,"194",NA,8.5,8,"コバノトネリコ",21.9,24,NA,NA,20090823,20140901,0,0,0,0,0,0
10,30,"-",NA,9.5,9.2,"コバノトネリコ",79.5,NA,"根返りしているが生存","sb、up、Tag回収",20090823,20140901,0,1,0,0,0,0
10,30,"-",NA,9.5,9.2,"コバノトネリコ",59.7,NA,"根返りしているが生存","sb、up、Tag回収",20090823,20140901,0,1,0,0,0,0
10,30,"-",NA,9.5,9.2,"コバノトネリコ",34,NA,"根返りしているが生存","sb、up、Tag回収",20090823,20140901,0,1,0,0,0,0
10,30,"198",NA,9.5,9.2,"コバノトネリコ",18,21.6,"根返りしているが生存","寝返りしているが生存",20090823,20140901,0,0,0,0,0,0
10,30,"199",NA,9.5,9.2,"コバノトネリコ",19.1,21.3,"根返りしているが生存","寝返りしているが生存（萌芽）",20090823,20140901,0,0,0,0,0,0
10,30,"200",NA,0.6,7.4,"ヤマボウシ",111.2,113.2,"幹えぐれてる","幹えぐれてる、(1.0、7.0)→(0.6、7.4)",20090823,20140901,0,0,0,0,0,0
10,40,"201",NA,0.5,4,"クマシデ",39.2,44.8,NA,NA,20090823,20140901,0,0,0,0,0,0
10,40,"202",NA,0.5,4,"クマシデ",15.4,18,NA,NA,20090823,20140901,0,0,-1,1,0,0
10,40,"203",NA,5.3,4.2,"ミズキ",29.3,34.8,NA,NA,20090823,20140901,0,0,0,0,0,0
10,40,"204",NA,7,2.5,"クマシデ",30.6,41.1,NA,NA,20090823,20140901,0,0,0,0,0,0
10,40,"205",NA,5.8,6.5,"イタヤカエデ",15,16.1,NA,"前回str09修正",20090823,20140901,0,0,-1,1,0,0
10,40,"206",NA,9.6,7,"ミズキ",26.7,30.6,NA,NA,20090823,20140901,0,0,0,0,0,0
10,40,"207",NA,8.8,5.5,"ミズキ",66.5,71.8,NA,NA,20090823,20140901,0,0,0,0,0,0
10,40,"208",NA,1,8.5,"ミズキ",24.7,26.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"156",NA,6.5,5.9,"クマシデ",59.8,61,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"157",NA,7.5,7,"クマシデ",117,118,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"158",NA,6.9,9,"コバノトネリコ",41.4,42,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"14941",NA,9,7.5,"リョウブ",17.8,18.1,NA,"Tag落ち→14941",20090823,20140901,0,0,0,0,0,0
20,0,"160",NA,4.5,7.3,"ハクウンボク",86.5,89.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"161",NA,1.1,3.4,"アワブキ",33.1,33.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"162",NA,1.1,3.4,"アワブキ",18.2,19.7,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"14942",NA,8.6,4.8,"ツリバナ",18.3,18.4,NA,"Tag落ち→14942",20090823,20140901,0,0,0,0,0,0
20,0,"164",NA,9.6,3.8,"クマシデ",63.3,63.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"165",NA,8,1.4,"ミズメ",145.4,145.6,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"166",NA,7,1.4,"クマシデ",95.8,98.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,0,"167",NA,7.5,0.3,"サラサドウダン",22.3,22.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,10,"148",NA,5.3,5.5,"ブナ",87.5,94.6,NA,NA,20090823,20140901,0,0,0,0,0,0
20,10,"149",NA,5.3,5.5,"ブナ",78,85.6,NA,NA,20090823,20140901,0,0,0,0,0,0
20,10,"150",NA,7,7,"ツリバナ",16.8,17,NA,NA,20090823,20140901,0,0,0,0,0,0
20,10,"14943",NA,9.2,9.7,"ブナ",167,174.1,NA,"Tag落ち→14943",20090823,20140901,0,0,0,0,0,0
20,10,"14944",NA,7,5.4,"リョウブ",16.5,17.9,NA,"Tag落ち→14944",20090823,20140901,0,0,0,0,0,0
20,10,"153",NA,2.7,0.6,"クマシデ",109.3,109.3,NA,NA,20090823,20140901,0,0,0,0,0,0
20,10,"154",NA,2.7,0.6,"クマシデ",81,82.2,NA,NA,20090823,20140901,0,0,0,0,0,0
20,10,"14945",NA,8.6,0.2,"ヤマボウシ",36.3,37.6,NA,"Tag落ち→14945",20090823,20140901,0,0,0,0,0,0
20,20,"138",NA,6.1,5.3,"ブナ",26,26.4,NA,NA,20090823,20140901,0,0,0,0,0,0
20,20,"139",NA,8,8,"ツリバナ",35.8,36.2,NA,NA,20090823,20140901,0,0,0,0,0,0
20,20,"140",NA,8.6,6,"ミズメ",132,132.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,20,"141",NA,3.8,7.5,"ミズキ",91.5,95.1,NA,NA,20090823,20140901,0,0,0,0,0,0
20,20,"142",NA,1,6.2,"ツリバナ",27.2,27.7,NA,NA,20090823,20140901,0,0,0,0,0,0
20,20,"143",NA,2.5,0.5,"コバノトネリコ",52.4,53.4,NA,NA,20090823,20140901,0,0,0,0,0,0
20,20,"144",NA,2.5,0.5,"コバノトネリコ",34.7,35.3,NA,NA,20090823,20140901,0,0,0,0,0,0
20,20,"14946",NA,3.6,3.4,"ブナ",178.2,186.2,NA,"Tag落ち→14946",20090823,20140901,0,0,0,0,0,0
20,20,"14947",NA,4.5,2,"リョウブ",22.6,24,NA,"Tag落ち→14947",20090823,20140901,0,0,0,0,0,0
20,20,"147",NA,7.5,0.3,"ツリバナ",18,18.1,"幹折れしているが生存","幹折半枯",20090823,20140901,0,0,0,0,0,0
20,30,"131",NA,4,5.4,"アワブキ",57.5,60.8,NA,NA,20090823,20140901,0,0,0,0,0,0
20,30,"132",NA,4,5.4,"アワブキ",45.8,46.2,NA,NA,20090823,20140901,0,0,0,0,0,0
20,30,"133",NA,4,5.4,"アワブキ",16.2,18,NA,NA,20090823,20140901,0,0,0,0,0,0
20,30,"134",NA,4,5.4,"アワブキ",58.6,59.9,NA,NA,20090823,20140901,0,0,0,0,0,0
20,30,"135",NA,4,5.4,"アワブキ",16.6,18.1,NA,NA,20090823,20140901,0,0,0,0,0,0
20,30,"136",NA,3.8,2,"シナノキ",15.8,18.4,NA,NA,20090823,20140901,0,0,0,0,0,0
20,30,"137",NA,3.8,2,"シナノキ",17.5,18.5,NA,NA,20090823,20140901,0,0,0,0,0,0
20,40,"125",NA,5.4,7.4,"クマシデ",39.8,43.4,NA,NA,20090823,20140901,0,0,0,0,0,0
20,40,"126",NA,5.4,7.4,"クマシデ",18.4,20.4,NA,NA,20090823,20140901,0,0,0,0,0,0
