#/log,DATA CREATED,データ作成日,20140220,,,,,,,,,,,,,,,
70,60,164,"D164",6,4.4,"アカイタヤ",NA,NA,"立ち枯れ","",20081112,20130926,"","D","",NA,NA,NA,1,2,-1,-1,0,0
70,60,164.1,"D164.1",6.9,4.4,"アオダモ",18.1,NA,"倒伏","→不明",20081112,20130926,"","D","RD349　WG526",NA,NA,NA,0,1,0,0,0,0
80,60,165.1,"RG424",1.1,5.6,"アオダモ",11,14.5,"","→土石流皮むけアーチ",20081112,20130926,"RG","D","RD347　WG525",424,NA,NA,0,0,-1,-1,0,0
80,60,163.1,"RG425",0.1,1.3,"アオダモ",11.9,14.2,"","",20081112,20130926,"RG","D","RD348　WG524",425,NA,NA,0,0,-1,-1,0,0
80,60,157.1,"RG434",7.6,3.7,"ツリバナ",10.5,13.3,"","",20081112,20130926,"RG","D","青1271",434,NA,NA,0,0,-1,-1,0,0
80,60,157.2,"RG435",8.3,3.2,"ツリバナ",9,10.5,"","",20081112,20130926,"RG","D","青1272",435,NA,NA,0,0,-1,-1,0,0
80,60,157,"RG436",5.9,8.1,"トチノキ",157.1,164.2,"","",20081112,20130926,"RG","D","",436,NA,NA,0,0,0,0,0,0
80,60,156,"D156",8.2,8,"アオダモ",19.3,NA,"","→不明",20081112,20130926,"","D","WG514",NA,NA,NA,0,1,0,0,0,0
80,60,163,"D163",0.8,0.8,"アカイタヤ",74.9,NA,"","→根元折れ枯れ",20081112,20130926,"","D","",NA,NA,NA,0,1,0,0,0,0
10,70,488,"RG291",2,9.8,"ヒバ",28.7,28.7,"","",20081112,20130926,"RG","C","",291,NA,NA,0,0,0,0,0,0
10,70,479.5,"RG297",6.8,5.8,"ヒバ",11.5,12.8,"","",20081112,20130926,"RG","C","RD292",297,NA,NA,0,0,-1,-1,0,0
10,70,NA,"RG381",8.8,0.1,"ホオノキ",NA,10.7,"","",20081112,20130926,"RG","","青616",385,NA,NA,0,0,-1,-1,0,0
10,70,479,"C479",4.7,8.8,"ヒバ",NA,NA,"根元折れ枯れ","",20081112,20130926,"","C","",NA,NA,NA,1,2,-1,-1,0,0
20,70,465,"RG306",6.6,5.7,"ブナ",194.2,203.8,"","",20081112,20130926,"RG","C","",306,NA,NA,0,0,0,0,0,0
30,70,461.1,"RG327",5.9,9.1,"トチノキ",11.6,12.4,"","",20081112,20130926,"RG","C","F410　 青95　RA744",327,NA,NA,0,0,-1,-1,0,0
40,70,462,"RG326",0.8,8.9,"シウリザクラ",86.6,88.3,"","",20081112,20130926,"RG","C","",326,NA,NA,0,0,0,0,0,0
40,70,463,"RG328",1.6,5.4,"トチノキ",209.8,213.5,"","",20081112,20130926,"RG","C","",328,NA,NA,0,0,0,0,0,0
50,70,434,"RG335",4.4,8.3,"ブナ",18.7,18.7,"","",20081112,20130926,"RG","C","WG461",335,NA,NA,0,0,0,0,0,0
50,70,433,"RG336",2.3,6.1,"シウリザクラ",80,80.4,"","",20081112,20130926,"RG","C","",336,NA,NA,0,0,0,0,0,0
50,70,432,"RG337",3.9,5.8,"ホオノキ",114.8,116.3,"","",20081112,20130926,"RG","C","",337,NA,NA,0,0,0,0,0,0
50,70,431,"RG338",9.7,6.8,"ホオノキ",157.9,164,"","",20081112,20130926,"RG","C","",338,NA,NA,0,0,0,0,0,0
50,70,430,"RG339",5.1,2.1,"ヒバ",91.3,92.1,"","",20081112,20130926,"RG","C","",339,NA,NA,0,0,0,0,0,0
50,70,429,"RG340",9.7,3.4,"ヒバ",127.7,129.6,"","",20081112,20130926,"RG","C","",340,NA,NA,0,0,0,0,0,0
50,70,181,"RG402",1.6,0.4,"トチノキ",145.1,154.5,"","",20081112,20130926,"RG","D","RF999",402,NA,NA,0,0,0,0,0,0
60,70,426,"RG349",0.7,6.9,"ヒバ",78.5,78.9,"","",20081112,20130926,"RG","C","",349,NA,NA,0,0,0,0,0,0
60,70,427,"RG350",2.8,6.4,"ミズキ",38.4,41.8,"","",20081112,20130926,"RG","C","",350,NA,NA,0,0,0,0,0,0
60,70,407,"RG351",5.5,0.2,"ヒバ",127.3,129.1,"","",20081112,20130926,"RG","C","",351,NA,NA,0,0,0,0,0,0
60,70,406,"RG352",7.7,0.8,"シウリザクラ",68,68,"","",20081112,20130926,"RG","C","",352,NA,NA,0,0,0,0,0,0
60,70,408.5,"RG353",9.2,8.3,"ウワミズザクラ",17.9,NA,"","→土石流で流され18.5",20081112,20130926,"RG","C","RD300　WG455",353,NA,NA,0,1,0,0,0,0
60,70,406.1,"C406.1",6.7,0.1,"ヒバ",NA,NA,"立ち枯れ","",20081112,20130926,"","C","RD301　WG457",NA,NA,NA,1,2,-1,-1,0,0
60,70,428,"C428",0.2,3.5,"ヒバ",NA,NA,"立ち枯れ","",20081112,20130926,"","C","",NA,NA,NA,1,2,-1,-1,0,0
70,70,409,"RG354",2.3,9,"サワグルミ",19,NA,"","→根元くの字→土石流で流され20.6",20081112,20130926,"RG","C","",354,NA,NA,0,1,0,0,0,0
70,70,NA,"RG368",9.2,9.5,"ウワミズザクラ",NA,9.7,"","",20081112,20130926,"RG","","青1158",368,NA,NA,0,0,-1,-1,0,0
70,70,NA,"RG369",9.5,8.5,"ウワミズザクラ",NA,12.7,"","",20081112,20130926,"RG","","PE890",369,NA,NA,0,0,-1,-1,0,0
70,70,405.3,"RG374",10,0.6,"ウワミズザクラ",8.6,12.5,"","",20081112,20130926,"RG","C","PE898",374,NA,NA,0,0,-1,-1,0,0
70,70,406.2,"C406.2",3.7,0.4,"ツリバナ",12.5,NA,"","→下敷き枯れ",20081112,20130926,"","C","青1154",NA,NA,NA,0,1,-1,-1,0,0
70,70,410,"C410",2.7,8.7,"サワグルミ",NA,NA,"立ち枯れ","",20081112,20130926,"","C","",NA,NA,NA,1,2,-1,-1,0,0
70,70,410.5,"C410",2.8,8.2,"サワグルミ",14.5,NA,"","→立枯れ",20081112,20130926,"","C","RD299　WG456",NA,NA,NA,0,1,-1,-1,0,0
80,70,404,"RG367",0.3,9.6,"ミズナラ",176.9,182.8,"","",20081112,20130926,"RG","C","",367,NA,NA,0,0,0,0,0,0
80,70,405.2,"RG370",5,8.8,"ウワミズザクラ",11.4,16.5,"","",20081112,20130926,"RG","C","青1540",370,NA,NA,0,0,-1,1,0,0
80,70,405.1,"RG371",3.3,8.8,"ハリギリ",14.1,14.1,"","→根元くの字倒伏",20081112,20130926,"RG","C","RD303　WG453",371,NA,NA,0,0,-1,-1,0,0
80,70,391.6,"RG373",5.6,2,"ツリバナ",11.8,NA,"","→崩壊行方不明",20081112,20130926,"RG","C","青1526 RA833",373,NA,NA,0,1,-1,-1,0,0
80,70,391.7,"C391.7",7,8.2,"アカイタヤ",88.7,NA,"","→立枯れ",20081112,20130926,"","C","RD309　YG120 RD815",NA,NA,NA,0,1,0,0,0,0
10,80,485,"RG288",0.9,3.4,"ヒバ",91.5,92.8,"","",20081112,20130926,"RG","C","",288,NA,NA,0,0,0,0,0,0
10,80,487,"RG289",1.5,0.5,"ヒバ",124.9,127.8,"","",20081112,20130926,"RG","C","WG467",289,NA,NA,0,0,0,0,0,0
10,80,486,"RG290",2.3,2.6,"ヒバ",101.3,102.7,"","",20081112,20130926,"RG","C","",290,NA,NA,0,0,0,0,0,0
10,80,482,"RG292",4.4,5.1,"ヒバ",94.6,95.5,"","",20081112,20130926,"RG","C","",292,NA,NA,0,0,0,0,0,0
10,80,481.5,"RG293",5.4,3.9,"ヒバ",10.9,11.9,"","",20081112,20130926,"RG","C","RD291　WG466",293,NA,NA,0,0,-1,-1,0,0
10,80,481,"RG294",6,4,"スギ",189.5,189,"","",20081112,20130926,"RG","C","WG465",294,NA,NA,0,0,0,0,0,0
10,80,483,"RG295",7.4,9,"ブナ",42.3,42.7,"","",20081112,20130926,"RG","C","",295,NA,NA,0,0,0,0,0,0
10,80,478,"RG296",7.9,0.2,"トチノキ",187.8,188.3,"","",20081112,20130926,"RG","C","",296,NA,NA,0,0,0,0,0,0
10,80,480,"C480",5,3.2,"スギ",NA,NA,"立ち枯れ","",20081112,20130926,"","C","",NA,NA,NA,1,2,-1,-1,0,0
20,80,474,"RG298",4.3,4.6,"トチノキ",169.1,174.4,"","",20081112,20130926,"RG","C","",298,NA,NA,0,0,0,0,0,0
20,80,470,"RG300",9.5,9.5,"ヒバ",49,49.3,"","ほとんど根返り",20081112,20130926,"RG","C","",300,NA,NA,0,0,0,0,0,0
20,80,NA,"RG301",8.4,7.4,"スギ",NA,8.6,"","",20081112,20130926,"RG","","青766",301,NA,NA,0,0,-1,-1,0,0
20,80,469,"RG302",8.9,6.1,"ハウチワカエデ",42.8,43.3,"","",20081112,20130926,"RG","C","",302,NA,NA,0,0,0,0,0,0
20,80,469.1,"RG303",6.8,5.8,"ヒバ",12.4,14.2,"","",20081112,20130926,"RG","C","RD296",303,NA,NA,0,0,-1,-1,0,0
20,80,467,"RG304",5.5,1.5,"ヒバ",44.7,47.4,"","",20081112,20130926,"RG","C","",304,NA,NA,0,0,0,0,0,0
20,80,467.1,"RG305",6.7,0.2,"ヒバ",11.7,12.3,"","",20081112,20130926,"RG","C","青763",305,NA,NA,0,0,-1,-1,0,0
30,80,471,"RG307",4.6,9.5,"ヒバ",114.4,115.3,"","",20081112,20130926,"RG","C","",307,NA,NA,0,0,0,0,0,0
30,80,556.3,"B556.3",6.4,6.1,"クサギ",10.3,NA,"","→不明",20081112,20130926,"","B","青62",NA,NA,NA,0,1,-1,-1,0,0
40,80,451,"RG310",1.5,5.9,"スギ",111.2,111.5,"","",20081112,20130926,"RG","C","",310,NA,NA,0,0,0,0,0,0
40,80,448,"RG311",2.3,7,"スギ",276.9,280.3,"","",20081112,20130926,"RG","C","",311,NA,NA,0,0,0,0,0,0
40,80,449,"RG312",4.2,9.4,"スギ",371.9,375.5,"","",20081112,20130926,"RG","C","",312,NA,NA,0,0,0,0,0,0
40,80,457,"RG321",7.3,4.8,"スギ",72.6,72.8,"","",20081112,20130926,"RG","C","WG464",321,NA,NA,0,0,0,0,0,0
40,80,458,"RG322",4.7,2.9,"スギ",67.6,68.3,"","",20081112,20130926,"RG","C","WG463",322,NA,NA,0,0,0,0,0,0
40,80,459,"RG323",1.7,1.1,"スギ",23.1,23.1,"","",20081112,20130926,"RG","C","WG462",323,NA,NA,0,0,0,0,0,0
40,80,460,"RG324",1,0.8,"スギ",23.4,23.2,"裂け進行測定位置変更2.6m","",20081112,20130926,"RG","C","RD814",324,NA,NA,0,0,0,0,0,0
40,80,461,"RG325",0.8,1,"スギ",66.6,67.3,"","",20081112,20130926,"RG","C","",325,NA,NA,0,0,0,0,0,0
50,80,441,"RG318",2.7,9.8,"アカイタヤ",92.4,93,"","",20081112,20130926,"RG","C","",318,NA,NA,0,0,0,0,0,0
50,80,440,"RG319",2.3,8.7,"ブナ",83.2,84.2,"","",20081112,20130926,"RG","C","",319,NA,NA,0,0,0,0,0,0
50,80,439,"RG320",1.5,6.2,"アカイタヤ",130,134.2,"","",20081112,20130926,"RG","C","",320,NA,NA,0,0,0,0,0,0
50,80,438,"RG329",2.6,3.8,"トチノキ",90,92,"","",20081112,20130926,"RG","C","",329,NA,NA,0,0,0,0,0,0
50,80,437,"RG330",4.4,2.2,"サワグルミ",175.4,179.5,"","",20081112,20130926,"RG","C","",330,NA,NA,0,0,0,0,0,0
50,80,436,"RG333",8.7,3.6,"ヒバ",152.1,153.4,"","",20081112,20130926,"RG","C","",333,NA,NA,0,0,0,0,0,0
50,80,435,"RG334",6.6,0,"ヒバ",44.3,43.9,"","",20081112,20130926,"RG","C","",334,NA,NA,0,0,0,0,0,0
50,80,423,"C423",9.6,4.3,"ヒバ",NA,NA,"立ち枯れ","",20081112,20130926,"","C","",NA,NA,NA,1,2,-1,-1,0,0
60,80,425,"RG348",5.5,1.8,"ヒバ",141.6,143.7,"","",20081112,20130926,"RG","C","",348,NA,NA,0,0,0,0,0,0
70,80,411,"RG356",3.6,5.3,"ヒバ",41,41.2,"","",20081112,20130926,"RG","C","",355,NA,NA,0,0,0,0,0,0
70,80,412,"RG356",3.7,5.6,"ヒバ",90.8,91.3,"","",20081112,20130926,"RG","C","",356,NA,NA,0,0,0,0,0,0
70,80,396,"RG357",7.6,6.9,"ヒバ",98.6,98.8,"","",20081112,20130926,"RG","C","",357,NA,NA,0,0,0,0,0,0
70,80,395,"RG358",8.2,8.2,"ヒバ",116.4,116.1,"","",20081112,20130926,"RG","C","",358,NA,NA,0,0,0,0,0,0
70,80,403,"RG366",9.9,0.8,"サワグルミ",137.8,138.6,"","",20081112,20130926,"RG","C","",366,NA,NA,0,0,0,0,0,0
70,80,401,"C401",9.4,4.8,"ヒバ",15.7,NA,"","→不明",20081112,20130926,"","C","",NA,NA,NA,0,1,0,0,0,0
70,80,402.5,"C402.5",9.2,3.6,"ヒバ",8.4,NA,"","細い",20081112,20130926,"","C","RD302　WG454",NA,NA,NA,0,0,-1,-1,0,1
80,80,394,"RG359",0.2,9.4,"ヒバ",131.8,132.7,"","",20081112,20130926,"RG","C","",359,NA,NA,0,0,0,0,0,0
80,80,398,"RG360",2.5,6.7,"ヒバ",118.2,119.7,"","",20081112,20130926,"RG","C","",360,NA,NA,0,0,0,0,0,0
80,80,386,"RG362",9.8,4.2,"ヒバ",54.5,57,"","",20081112,20130926,"RG","C","",362,NA,NA,0,0,0,0,0,0
80,80,400,"RG363",3.1,2.6,"アカイタヤ",256.2,260.5,"","",20081112,20130926,"RG","C","",363,NA,NA,0,0,0,0,0,0
80,80,405,"RG364",3.1,1.2,"アカイタヤ",184.3,193.2,"ツル含み","→幹裂け",20081112,20130926,"RG","C","RF1000",364,NA,NA,0,0,0,0,0,0
80,80,402,"RG365",0.5,1.9,"ヒバ",48.7,51.1,"","",20081112,20130926,"RG","C","",365,NA,NA,0,0,0,0,0,0
80,80,388,"RG372",9.4,1.3,"トチノキ",32.9,NA,"","→崩壊行方不明",20081112,20130926,"RG","C","",372,NA,NA,0,1,0,0,0,0
80,80,397,"C397",2.9,7.2,"ヒバ",56,NA,"裂け目あり","→幹折れ枯れ",20081112,20130926,"","C","",NA,NA,NA,0,1,0,0,0,0
80,80,399,"C399",0.9,6.1,"ヒバ",NA,NA,"根元裂け枯れ","",20081112,20130926,"","C","",NA,NA,NA,1,2,-1,-1,0,0
10,90,662,"RG179",6.1,7.5,"ブナ",163.1,171.6,"","",20081112,20130926,"RG","B","",179,NA,NA,0,0,0,0,0,0
10,90,661,"RG180",9,9.9,"トチノキ",240.7,242.3,"","",20081112,20130926,"RG","B","RF994",180,NA,NA,0,0,0,0,0,0
10,90,484,"RG287",4.1,4,"アカイタヤ",184.8,186.1,"","",20081112,20130926,"RG","C","",287,NA,NA,0,0,0,0,0,0
20,90,619,"RG181",3.1,8.5,"ブナ",176.7,184.9,"","",20081112,20130926,"RG","B","",181,NA,NA,0,0,0,0,0,0
20,90,616,"RG182",7.6,8.7,"スギ",196.3,202.6,"","",20081112,20130926,"RG","B","WG421 ",182,NA,NA,0,0,0,0,0,0
20,90,473,"RG299",7.7,1.3,"ヒバ",149.6,150,"","",20081112,20130926,"RG","C","",299,NA,NA,0,0,0,0,0,0
20,90,618,"B618",5.7,8.3,"スギ",NA,NA,"立ち枯れ","",20081112,20130926,"","B","",NA,NA,NA,1,2,-1,-1,0,0
20,90,473.1,"C473.1",3,4.8,"ヒバ",11.6,NA,"","細い",20081112,20130926,"","C","青878",NA,NA,NA,0,0,-1,-1,0,1
30,90,615,"RG183",0.8,9,"ミズナラ",234.7,240.6,"","",20081112,20130926,"RG","B","",183,NA,NA,0,0,0,0,0,0
30,90,613,"RG226",8.1,5.5,"ヒバ",74.4,74.3,"円周の1/3材ハゲ","→4mくの字寄りかかり",20081112,20130926,"RG","B","",226,NA,NA,0,0,0,0,0,0
30,90,446,"RG308",6.8,3.3,"トチノキ",142.4,144.4,"","",20081112,20130926,"RG","C","",308,NA,NA,0,0,0,0,0,0
30,90,447,"RG309",7.2,1.6,"ヒバ",79.9,80.3,"","",20081112,20130926,"RG","C","",309,NA,NA,0,0,0,0,0,0
40,90,556.1,"RG227",9.5,8.6,"トチノキ",10.3,12.1,"","",20081112,20130926,"RG","B","青64",227,NA,NA,0,0,-1,-1,0,0
40,90,556.2,"RG229",9.9,9,"スギ",13.2,12.7,"","",20081112,20130926,"RG","B","青63",229,NA,NA,0,0,-1,-1,0,0
40,90,443,"RG313",8.9,1.4,"ヒバ",68.7,69.4,"","",20081112,20130926,"RG","C","",313,NA,NA,0,0,0,0,0,0
40,90,445,"RG314",8.9,4.9,"トチノキ",127.8,129.2,"","",20081112,20130926,"RG","C","",314,NA,NA,0,0,0,0,0,0
40,90,444,"RG315",9.7,4.9,"ヒバ",88.9,91.3,"","",20081112,20130926,"RG","C","",315,NA,NA,0,0,0,0,0,0
50,90,556,"RG228",1.3,7.6,"サワグルミ",143.3,146.3,"","",20081112,20130926,"RG","B","",228,NA,NA,0,0,0,0,0,0
50,90,555,"RG230",4.6,9.1,"サワグルミ",134.8,137.2,"","",20081112,20130926,"RG","B","",230,NA,NA,0,0,0,0,0,0
50,90,552.1,"RG235",7.6,9.4,"ヒバ",14.7,16,"","",20081112,20130926,"RG","B","RD265,青71",235,NA,NA,0,0,-1,1,0,0
50,90,441.5,"RG316",2.9,3.9,"ヒバ",81.6,82.5,"","",20081112,20130926,"RG","C","RD297",316,NA,NA,0,0,0,0,0,0
50,90,NA,"RG317",5.8,5.8,"ヒバ",NA,10.9,"","RG230の下",20081112,20130926,"RG","","青69",317,NA,NA,0,0,-1,-1,0,0
50,90,421,"RG331",9.6,0.4,"ホオノキ",82.2,82.8,"","",20081112,20130926,"RG","C","",331,NA,NA,0,0,0,0,0,0
50,90,419,"RG332",9.6,1.1,"ヒバ",24.9,25,"","",20081112,20130926,"RG","C","WG460",332,NA,NA,0,0,0,0,0,0
60,90,550,"RG270",4,9.2,"トチノキ",31.7,33.5,"","",20081112,20130926,"RG","B","",270,NA,NA,0,0,0,0,0,0
60,90,551,"RG271",2.4,5.1,"ブナ",97.2,98.1,"","",20081112,20130926,"RG","B","",271,NA,NA,0,0,0,0,0,0
60,90,417,"RG341",2,3,"ホオノキ",168.7,173.9,"","",20081112,20130926,"RG","C","",341,NA,NA,0,0,0,0,0,0
60,90,417.5,"RG341",1.7,3.3,"ホオノキ",23.2,24,"","RG341萌芽",20081112,20130926,"RG","C","RD298　WG459",342,NA,NA,0,0,0,0,0,0
60,90,418,"RG341",1.6,2.7,"ホオノキ",33.2,34.4,"","RG341萌芽",20081112,20130926,"RG","C","",343,NA,NA,0,0,0,0,0,0
60,90,NA,"RG341",1.9,2.4,"ホオノキ",NA,14.5,"","RG341萌芽",20081112,20130926,"RG","","",344,NA,NA,0,0,-1,-1,0,0
60,90,422,"RG345",2.4,0.9,"ヒバ",38.8,39.5,"","",20081112,20130926,"RG","C","",345,NA,NA,0,0,0,0,0,0
60,90,416,"RG346",7.1,3.3,"ヒバ",112.1,112.8,"","",20081112,20130926,"RG","C","",346,NA,NA,0,0,0,0,0,0
60,90,415,"RG347",9.9,1.1,"ブナ",269.6,274.4,"","",20081112,20130926,"RG","C","",347,NA,NA,0,0,0,0,0,0
70,90,498,"RG272",8.3,9.2,"ヒバ",128.1,129.5,"","",20081112,20130926,"RG","B","",272,NA,NA,0,0,0,0,0,0
70,90,499,"B499",9.6,7.8,"ヒバ",NA,NA,"立ち枯れ","",20081112,20130926,"","B","RD267　WG438 ",NA,NA,NA,1,2,-1,-1,0,0
80,90,499.5,"RG283",0.4,8.6,"ヒバ",9.8,10,"","",20081112,20130926,"RG","B","RD268",283,NA,NA,0,0,-1,-1,0,0
80,90,392,"RG361",7.4,2.6,"トチノキ",208,214.9,"","",20081112,20130926,"RG","C","WG439",361,NA,NA,0,0,0,0,0,0
10,100,657,"RG177",6.2,8,"ミズナラ",274.7,276.8,"","",20081112,20130926,"RG","B","",177,NA,NA,0,0,0,0,0,0
10,100,659,"RG178",7.3,3.3,"ヒバ",62.9,65.1,"","",20081112,20130926,"RG","B","",178,NA,NA,0,0,0,0,0,0
10,100,663.5,"YB 99",1,0.5,"ヒバ",12.1,13.2,"","",20081112,20130926,"YB","B","RD263",99,NA,NA,0,0,-1,-1,0,0
10,100,660,"B660",8.5,3.4,"ヒバ",NA,NA,"幹裂け1m枯れ","",20081112,20130926,"","B","",NA,NA,NA,1,2,-1,-1,0,0
20,100,629,"RG171",8.6,9.3,"ヒバ",80.5,80.4,"","",20081112,20130926,"RG","B","",171,NA,NA,0,0,0,0,0,0
20,100,628,"RG172",8.6,9.1,"ヒバ",40.1,40.1,"","",20081112,20130926,"RG","B","",172,NA,NA,0,0,0,0,0,0
20,100,627,"RG173",8.4,8.2,"スギ",229.4,233,"","",20081112,20130926,"RG","B","RF996",173,NA,NA,0,0,0,0,0,0
30,100,624,"RG184",0.7,2.7,"ミズナラ",140.4,144,"","",20081112,20130926,"RG","B","",184,NA,NA,0,0,0,0,0,0
30,100,623,"RG185",1.5,3.2,"ヒバ",82.8,82.4,"先折れ　枯枝多い","",20081112,20130926,"RG","B","",185,NA,NA,0,0,0,0,0,0
30,100,620,"RG186",4,2.1,"ヒバ",32.7,32.9,"","",20081112,20130926,"RG","B","Rf995",186,NA,NA,0,0,0,0,0,0
30,100,621,"RG187",4.1,3.6,"スギ",135.4,137.2,"","",20081112,20130926,"RG","B","",187,NA,NA,0,0,0,0,0,0
30,100,625,"RG188",3.7,6.7,"ヒバ",65.8,67.2,"","",20081112,20130926,"RG","B","",188,NA,NA,0,0,0,0,0,0
30,100,606,"RG200",7.8,8.7,"ヒバ",50,50.6,"","",20081112,20130926,"RG","B","WG423",200,NA,NA,0,0,0,0,0,0
30,100,611,"RG224",7,2.5,"スギ",193.5,194.4,"","",20081112,20130926,"RG","B","WG422",224,NA,NA,0,0,0,0,0,0
30,100,610,"RG225",5.5,3.2,"ヒバ",61.5,63.1,"","",20081112,20130926,"RG","B","",225,NA,NA,0,0,0,0,0,0
40,100,609,"RG201",0.2,8.1,"ブナ",222.6,229.9,"","",20081112,20130926,"RG","B","",201,NA,NA,0,0,0,0,0,0
40,100,574,"RG202",3,9.4,"アカイタヤ",29.6,30.1,"","",20081112,20130926,"RG","B","",202,NA,NA,0,0,0,0,0,0
40,100,573,"RG203",3.4,9.5,"ホオノキ",37.9,39.2,"","",20081112,20130926,"RG","B","",203,NA,NA,0,0,0,0,0,0
40,100,575,"RG204",3.4,8.2,"アカイタヤカレ",175,175.9,"","",20081112,20130926,"RG","B","",204,NA,NA,0,0,0,0,0,0
40,100,572,"RG205",4,9.6,"オオバボダイジュ",29.8,30,"","",20081112,20130926,"RG","B","",205,NA,NA,0,0,0,0,0,0
