プロットコード,サイトプロットコード,調査サイトID,プロットID,森林タイプa,調査サイト名,サイト名（英語）,プロット名,JaLTERサイトb,森林動態データベースb,ERデータペーパーb,サイトタイプ,経度c,緯度c,標高 (m),年平均気温(℃)d,気象観測地点,都道府県,面積(ha),形状（m）,調査年度e,冬季設置状況f,代表者g,備考
1,201201,UR,UR-BC1,BC,雨龍,Uryu,,J,,E,コア,142.28,44.37,335,4.1,北海道大学雨龍研究林,北海道,1.05,70×150,2005-2016,越冬設置,内海俊介（北海道大学）,
1,203901,TA,TA-EC1,EC,大雪山,Mt. Daisetsu,,,,,準コア,143.1,43.66,975,2.5,アメダス・気象観測所（白滝),北海道,1,100×100,-,-,西村尚之（群馬大学）,
1,201301,AS,AS-DB1,DB,足寄,Ashoro,足寄拓北,J,,E,コア,143.51,43.32,360,4.7,アメダス・気象観測所（足寄),北海道,1,100×100,2006-2016,越冬設置,田代直明（九州大学）,
2,201302,AS,AS-DB2,DB,足寄,Ashoro,足寄美盛,J,,E,コア,143.51,43.26,340,4.8,アメダス・気象観測所（足寄),北海道,1,100×100,2005-2016,越冬設置,田代直明（九州大学）,
3,201303,AS,AS-DB3,DB,足寄,Ashoro,足寄花輪,J,,E,コア,143.5,43.29,380,4.6,アメダス・気象観測所（足寄),北海道,0.6,100×60,-,-,田代直明（九州大学）,
1,201801,NP,NP-DB1,DB,野幌,Nopporo,,,,E,準コア,141.53,43.06,42,7,アメダス・気象観測所（江別),北海道,1.04,80×130,-,-,並川寛司（北海道教育大学）,
1,200101,TM,TM-DB1,DB,苫小牧,Tomakomai,苫小牧成熟林,J,,E,コア,141.57,42.71,80,7.5,アメダス・気象観測所（苫小牧),北海道,1,100×100,2004-2016,越冬設置,日浦勉（北海道大学）,**
2,200102,TM,TM-DB2,DB,苫小牧,Tomakomai,苫小牧二次林404林班,J,,E,コア,141.59,42.69,64,7.6,アメダス・気象観測所（苫小牧),北海道,1.2,100×120,-,-,日浦勉（北海道大学）,
3,200103,TM,TM-DB3,DB,苫小牧,Tomakomai,苫小牧二次林308林班,J,,E,コア,141.63,42.67,33,7.8,アメダス・気象観測所（苫小牧),北海道,0.81,90×90,-,-,日浦勉（北海道大学）,
4,200104,TM,TM-DB4,DB,苫小牧,Tomakomai,苫小牧二次林208林班,J,,E,コア,141.57,42.7,85,7.5,アメダス・気象観測所（苫小牧),北海道,0.45,50×90,-,-,日浦勉（北海道大学）,
5,200105,TM,TM-AT1,AT,苫小牧,Tomakomai,苫小牧アカエゾマツ人工林,J,,,コア,141.61,42.68,43,7.7,アメダス・気象観測所（苫小牧),北海道,0.2,20×100,-,-,日浦勉（北海道大学）,
6,200106,TM,TM-AT2,AT,苫小牧,Tomakomai,苫小牧カラマツ人工林,J,,,コア,141.59,42.67,36,7.7,アメダス・気象観測所（苫小牧),北海道,0.2,40×50,-,-,日浦勉（北海道大学）,
7,200107,TM,TM-AT3,AT,苫小牧,Tomakomai,苫小牧トドマツ人工林,J,,,コア,141.58,42.71,50,7.7,アメダス・気象観測所（苫小牧),北海道,0.225,45×50,-,-,日浦勉（北海道大学）,
1,202501,NB,NB-EC1,EC,仁鮒水沢,Nibuna-mizusawa,,,,E,準コア,140.25,40.08,190,9.4,アメダス・気象観測所（脇神),秋田県,1,200×50,-,-,蒔田明史（秋田県立大学）,
1,204001,OZ,OZ-DB1,DB,大滝沢,Otakizawa,,,,E,準コア,140.89,39.64,460,8.3,アメダス・気象観測所（雫石),岩手県,1,80×125,-,-,野口麻穂子（森林総合研究所）,
1,201901,HY,HY-EC1,EC,早池峰,Hayachine,,,,E,準コア,141.5,39.54,1215,4.6,アメダス・気象観測所（川井),岩手県,1,80×125,-,-,八木橋　勉（森林総合研究所）,
1,200201,KM,KM-DB1,DB,カヌマ沢,Kanumazawa,カヌマ沢渓畔林,J,F,E,コア,140.86,39.11,435,8.9,アメダス・気象観測所（若柳),岩手県,1,100×100,2004-2016,冬季設置せず,野口麻穂子（森林総合研究所）・星崎和彦（秋田県立大学）,
2,200202,KM,KM-DB2,DB,カヌマ沢,Kanumazawa,カヌマ沢ブナ林,J,,,コア,140.85,39.11,445,8.8,アメダス・気象観測所（若柳),岩手県,NA,NA,-,-,野口麻穂子（森林総合研究所）・星崎和彦（秋田県立大学）,調査年の次年度から３年間は公開保留、今回のデータセットは全て公開対象。
1,202601,AO,AO-BC1,BC,青葉山,Aobayama,青葉山,,,E,準コア,140.85,38.25,120,12.2,アメダス・気象観測所（仙台),宮城県,1,100×100,2006-2016,通年回収,牧雅之（東北大学）,
1,200301,OS,OS-EC1,EC,大佐渡,Osado,,J,,E,コア,138.44,38.21,870,8.9,アメダス・気象観測所（弾崎),新潟県,1,100×100,2004-2016,冬季設置せず,本間航介（新潟大学,**
1,200401,KS,KS-DB1,DB,小佐渡,Kosado,小佐渡豊岡,J,,E,コア,138.52,37.98,125,13.1,アメダス・気象観測所（両津),新潟県,0.25,50×50,2005-2016,冬季設置せず,本間航介（新潟大学,**
2,200402,KS,KS-DB2,DB,小佐渡,Kosado,小佐渡キセン城,J,,,コア,138.48,38.01,350,11.9,アメダス・気象観測所（両津),新潟県,0.25,50×50,-,-,本間航介（新潟大学,
1,202001,KK,KK-DB1,DB,金目川,Kanamegawa,,J,,E,準コア,139.84,38.15,543,8.8,アメダス・気象観測所（小国),山形県,1,100×100,-,-,大久保達弘（宇都宮大学）,
1,204501,NS,NS-DB1,DB,那須高原,Nasu Kogen,,,,,コア,140.01,37.12,900,12.6,アメダス・気象観測所（那須),栃木県,0.3,60×50,-,-,大久保達弘（宇都宮大学）,
1,200501,OG,OG-DB1,DB,小川,Ogawa,,J,F,E,コア,140.59,36.94,635,10.2,アメダス・気象観測所（上遠野),茨城県,1.2,100×120,2004-2016,2007年度以降越冬設置,黒川紘子（森林総合研究所）,
1,204101,TK,TK-DB1,DB,高原山,Mt. Takahara,,J,,,準コア,139.8,36.88,925,8.2,アメダス・気象観測所（五十里),栃木県,1,100×100,-,-,大久保達弘（宇都宮大学）,
1,201401,KY,KY-DB1,DB,カヤの平,Kayanodaira,,,,E,コア,138.5,36.84,1495,5.8,アメダス・気象観測所（野沢温泉),長野県,1,100×100,2005-2016,2008年度以降越冬設置,井田秀行（信州大学）,**
1,201501,OT,OT-EC1,EC,おたの申す平,Otanomosutaira,,,,E,コア,138.5,36.7,1730,4.8,アメダス・気象観測所（草津),長野県,1,100×100,2006-2016,2007年度以降越冬設置,井田秀行（信州大学）,
1,204601,TB,TB-DB1,DB,筑波山,Mt. Tsukuba,,,,E,準コア,140.1,36.23,780,9.9,アメダス・気象観測所（下館),茨城県,1,100×100,-,-,津山　幾太郎（森林総合研究所）,
1,203801,OY,OY-DB1,DB,大山沢,Ooyamazawa,,J,,E,コア,138.76,35.96,1425,7.4,東京大学秩父演習林,埼玉県,1,100×100,2008-2016,越冬設置,崎尾均（新潟大学）,種子データは2010年まで
1,200601,CC,CC-DB1,DB,秩父,Chichibu,秩父ブナ・イヌブナ林,J,,E,コア,138.8,35.94,1200,8.6,東京大学秩父演習林,埼玉県,1,100×100,2004-2016,冬季設置せず,山田 利博（東京大学）,**
2,200602,CC,CC-DB2,DB,秩父,Chichibu,秩父ウダイカンバ林,J,,E,コア,138.82,35.91,1090,9.2,東京大学秩父演習林,埼玉県,0.12,30×40,2004-2009,冬季設置せず,山田 利博（東京大学）,**
3,200603,CC,CC-DB3,DB,秩父,Chichibu,秩父18は1二次林,J,,E,コア,138.82,35.91,1090,9.2,東京大学秩父演習林,埼玉県,0.1,不定形,-,-,山田 利博（東京大学）,
4,200604,CC,CC-AT1,AT,秩父,Chichibu,秩父矢竹沢,J,,,コア,138.82,35.94,900,10.4,東京大学秩父演習林,埼玉県,計0.88,長方形が3個,-,-,山田 利博（東京大学）,
1,202101,NG,NG-EC1,EC,御岳濁河,Ontake-nigorigo,,,,,準コア,137.46,35.93,1880,3.3,アメダス・気象観測所（宮之前),岐阜県,1,100×100,-,-,西村尚之（群馬大学）,
1,204201,KI,KI-EC1,EC,木曽赤沢,Kiso-akasawa,,,,,準コア,137.63,35.72,1175,8.2,アメダス・気象観測所（南木曽),長野県,1,100×100,-,-,西村尚之（群馬大学）,
1,204301,TZ,TZ-DB1,DB,西丹沢,Nishi Tanzawa,,,,,準コア,138.99,35.47,1150,8.4,アメダス・気象観測所（山中),神奈川県,1,100×100,-,-,金子信博（横浜国立大学）,
1,200701,FJ,FJ-AT1,AT,富士,Fuji,,,,,準コア,138.87,35.41,1015,9.2,アメダス・気象観測所（山中),山梨県,計0.5,50×50; 50×50,-,-,山田 利博（東京大学）,
1,202701,DI,DI-DB1,DB,大山文珠越,Daisen-monjugoe,,,,,準コア,133.55,35.36,1110,9.1,アメダス・気象観測所（下市),鳥取県,1,100×100,-,-,西村尚之（群馬大学）,
1,203101,AU,AU-EC1,EC,芦生,Ashiu,芦生枡上谷,,,E,コア,135.74,35.35,750,10.2,京都大学芦生研究林,京都府,1,100×100,2008-2016,冬季設置せず,嵜元道徳（京都大学）,
2,203102,AU,AU-DB1,DB,芦生,Ashiu,芦生モンドリ谷,,,E,コア,135.74,35.35,720,10.4,京都大学芦生研究林,京都府,1,100×100,-,-,金子隆之（京都大学）,
1,200801,AI,AI-BC1,BC,愛知赤津,Aichi-akazu,,J,,E,コア,137.17,35.22,335,14.1,アメダス・気象観測所（豊田),愛知県,1,100×100,2004-2016,通年回収,広嶋卓也（東京大学）,**
1,202201,KN,KN-EB1,EB,函南,Kannami,,,,,準コア,139.01,35.16,600,13.1,アメダス・気象観測所（三島),静岡県,1,100×100,-,-,武生雅明（東京農業大学）,
1,203201,KG,KG-EC1,EC,上賀茂,Kamigamo,,,,E,コア,135.77,35.07,140,15,京都大学上賀茂試験地,京都府,0.64*,80×80,2008-2016,越冬設置,吉岡崇仁（京都大学）,
1,203301,HD,HD-DB1,DB,半田山,Handayama,,,,,準コア,133.92,34.7,110,16.1,アメダス・気象観測所（岡山),岡山県,1,70×120; 40×40†,-,-,西村尚之（群馬大学）,
1,204401,GR,GR-DB1,DB,臥龍山,Mt. Garyu,,,,E,準コア,132.19,34.69,1150,8.5,アメダス・気象観測所（弥栄),広島県,1,100×100,-,-,井田秀行（信州大学）,
1,202801,KA,KA-EB1,EB,春日山,Kasugayama,,,,E,準コア,135.86,34.68,310,14.1,アメダス・気象観測所（奈良),奈良県,1,100×100,-,-,伊東明（大阪市立大学）,
1,204701,MY,MY-EB1,EB,宮島,Miyajima,,,,,準コア,132.33,34.3,100,16,アメダス・気象観測所（大竹),広島県,1,100×100,-,-,奥田敏統（広島大学）,
1,203401,SN,SN-EC1,EC,三之公,Sannoko,,,,,準コア,136.07,34.26,560,12.6,アメダス・気象観測所（上北山),奈良県,1,100×100,-,-,西村尚之（群馬大学）,
1,203501,TT,TT-EB1,EB,対馬龍良山,Tsushima-Mt. Tatera,,,,,準コア,129.22,34.15,160,15.4,アメダス・気象観測所（厳原),長崎県,1,100×100,-,-,西村尚之（群馬大学）,
1,201601,WK,WK-EC1,EC,和歌山,Wakayama,,J,,E,コア,135.53,34.07,825,11.1,京都大学和歌山研究林,和歌山県,1,100×100,2005-2016,通年回収,徳地直子（京都大学）,
1,202901,KJ,KJ-EB1,EB,粕屋,Kasuya,,,,E,準コア,130.55,33.65,450,15.1,アメダス・気象観測所（博多),福岡県,1,100×100,-,-,榎木勉（九州大学）,
1,201701,IC,IC-BC1,BC,市ノ又,Ichinomata,,,,E,コア,132.92,33.15,560,13.3,アメダス・気象観測所（江川崎),高知県,0.95*,100×100（一部除外）,2005-2016,通年回収,大谷達也（森林総合研究所）,
1,203601,SD,SD-EB1,EB,佐田山,Sadayama,,,,E,準コア,133,32.74,320,17,アメダス・気象観測所（清水),高知県,0.98*,100×100（一部除外）,-,-,倉本恵生（森林総合研究所）,
1,204901,SI,SI-DB1,DB,椎葉,Shiiba,,J,,E,準コア,131.1,32.38,1190,10.5,アメダス・気象観測所（西米良),宮崎県,1,100×100,-,-,榎木勉（九州大学）,
1,200901,AY,AY-EB1,EB,綾,Aya,,J,F,E,コア,131.19,32.05,490,14.6,アメダス・気象観測所（西都),宮崎県,1,100×100,2004-2016,通年回収,安部哲人（森林総合研究所）,
1,201001,TN,TN-EB1,EB,田野,Tano,田野二次林,J,,E,コア,131.3,31.86,175,17,アメダス・気象観測所（宮崎),宮崎県,1,100×100,2004-2016,通年回収,高木正博（宮崎大学）,**
2,201002,TN,TN-EB2,EB,田野,Tano,田野海岸林,,,,コア,131.26,31.38,26,17.7,アメダス・気象観測所（串間),宮崎県,NA,NA,-,-,高木正博（宮崎大学）,
1,203001,YK,YK-EB1,EB,屋久島照葉樹林,Yakushima-shoyojyurin,,,F,E,準コア,130.39,30.37,150,20.1,アメダス・気象観測所（尾之間),鹿児島県,1,100×100,-,-,齊藤　哲（森林総合研究所）,
1,203701,YS,YS-EC1,EC,屋久島スギ林,Yakushima-sugirin,,,F,,準コア,130.57,30.31,1200,13.4,アメダス・気象観測所（屋久島),鹿児島県,1,100×100,-,-,高嶋敦史（琉球大学）,
1,202301,AM,AM-EB1,EB,奄美,Amami,,,,E,準コア,129.45,28.33,330,20.1,アメダス・気象観測所（名瀬),鹿児島県,1,100×100,2005-2016,通年回収,石田健（東京大学）,** 2005-2008年種子データ欠損多数
1,201101,YN,YN-EB1,EB,与那,Yona,,J,,E,コア,128.23,26.74,250,21,アメダス・気象観測所（奥),沖縄県,1,100×100,2004-2016,通年回収,高嶋敦史（琉球大学）,**;2015-2016年公開保留
1,202401,OW,OW-EB1,EB,小笠原石門,Ogasawara-sekimon,,,,E,準コア,142.16,26.68,290,21.9,アメダス・気象観測所（父島),東京都,1,100×100,-,-,安部哲人（森林総合研究所）,
1,204801,IR,IR-EB1(仮),EB（仮）,西表,Iriomote,,,,,準コア,123.9,24.35,140,23.6,アメダス・気象観測所（大原),沖縄県,1,100×100,-,-,久保田康裕（琉球大学）,
